"KODE 
REKENING,URAIAN,JUMLAH,DASAR HUKUM",URAIAN,JUMLAH,DASAR HUKUM
1.05 . 1.05.01 . 01 . 11 . 5 . 2 . 1,Belanja Pegawai,12525000,
1.05 . 1.05.01 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,279800000,
1.05 . 1.05.01 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,1543000000,
1.05 . 1.05.01 . 01 . 13 . 5 . 2 . 1,Belanja Pegawai,60575000,
1.05 . 1.05.01 . 01 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,4000000,
1.05 . 1.05.01 . 01 . 13 . 5 . 2 . 3,Belanja Modal,1478425000,
1.05 . 1.05.01 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,90000000,
1.05 . 1.05.01 . 01 . 15 . 5 . 2 . 1,Belanja Pegawai,10725000,
1.05 . 1.05.01 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,79275000,
1.05 . 1.05.01 . 01 . 17,Penyediaan makanan dan minuman,200000000,
1.05 . 1.05.01 . 01 . 17 . 5 . 2 . 1,Belanja Pegawai,10725000,
1.05 . 1.05.01 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,189275000,
1.05 . 1.05.01 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,710000000,
1.05 . 1.05.01 . 01 . 18 . 5 . 2 . 1,Belanja Pegawai,10725000,
1.05 . 1.05.01 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,699275000,
1.05 . 1.05.01 . 01 . 20,Penyediaan Jasa Pengamanan Kantor,380000000,
1.05 . 1.05.01 . 01 . 20 . 5 . 2 . 1,Belanja Pegawai,18725000,
1.05 . 1.05.01 . 01 . 20 . 5 . 2 . 2,Belanja Barang dan Jasa,361275000,
1.05 . 1.05.01 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,42861005130,
1.05 . 1.05.01 . 02 . 03,Pembangunan gedung kantor,39768265700,
1.05 . 1.05.01 . 02 . 03 . 5 . 2 . 1,Belanja Pegawai,81225000,
1.05 . 1.05.01 . 02 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,85600000,
1.05 . 1.05.01 . 02 . 03 . 5 . 2 . 3,Belanja Modal,39601440700,
1.05 . 1.05.01 . 02 . 22,Pemeliharaan rutin/berkala gedung kantor,517250000,
1.05 . 1.05.01 . 02 . 22 . 5 . 2 . 1,Belanja Pegawai,21625000,
1.05 . 1.05.01 . 02 . 22 . 5 . 2 . 2,Belanja Barang dan Jasa,495625000,
1.05 . 1.05.01 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,1300489430,
1.05 . 1.05.01 . 02 . 24 . 5 . 2 . 1,Belanja Pegawai,18575000,
1.05 . 1.05.01 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,1281914430,
1.05 . 1.05.01 . 02 . 28,Pemeliharaan rutin/berkala peralatan gedung kantor,275000000,
1.05 . 1.05.01 . 02 . 28 . 5 . 2 . 1,Belanja Pegawai,10725000,
1.05 . 1.05.01 . 02 . 28 . 5 . 2 . 2,Belanja Barang dan Jasa,264275000,
1.05 . 1.05.01 . 02 . 42,Rehabilitasi sedang/berat gedung kantor,1000000000,
1.05 . 1.05.01 . 02 . 42 . 5 . 2 . 3,Belanja Modal,1000000000,
1.05 . 1.05.01 . 03,Program peningkatan disiplin aparatur,724350000,
1.05 . 1.05.01 . 03 . 02,Pengadaan pakaian dinas beserta perlengkapannya,287350000,
1.05 . 1.05.01 . 03 . 02 . 5 . 2 . 1,Belanja Pegawai,12525000,
1.05 . 1.05.01 . 03 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,274825000,
1.05 . 1.05.01 . 03 . 05,Pengadaan pakaian khusus hari-hari tertentu,437000000,
1.05 . 1.05.01 . 03 . 05 . 5 . 2 . 1,Belanja Pegawai,18225000,
1.05 . 1.05.01 . 03 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,418775000,
1.05 . 1.05.01 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,504900000,
1.05 . 1.05.01 . 05 . 03,Bimbingan teknis implementasi peraturan perundang-undangan,250000000,
1.05 . 1.05.01 . 05 . 03 . 5 . 2 . 1,Belanja Pegawai,20725000,
1.05 . 1.05.01 . 05 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,229275000,
1.05 . 1.05.01 . 05 . 04,Pembinaan Kinerja Aparatur,254900000,
1.05 . 1.05.01 . 05 . 04 . 5 . 2 . 1,Belanja Pegawai,12525000,
1.05 . 1.05.01 . 05 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,242375000,
1.05 . 1.05.01 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,550000000,
1.05 . 1.05.01 . 06 . 01,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,300000000,
1.05 . 1.05.01 . 06 . 01 . 5 . 2 . 1,Belanja Pegawai,102500000,
1.05 . 1.05.01 . 06 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,197500000,
1.05 . 1.05.01 . 06 . 02,Penyusunan pelaporan keuangan semesteran,100000000,
1.05 . 1.05.01 . 06 . 02 . 5 . 2 . 1,Belanja Pegawai,55375000,
1.05 . 1.05.01 . 06 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,44625000,
1.05 . 1.05.01 . 06 . 04,penyusunan pelaporan keuangan akhir tahun,150000000,
1.05 . 1.05.01 . 06 . 04 . 5 . 2 . 1,Belanja Pegawai,64375000,
1.05 . 1.05.01 . 06 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,85625000,
1.04 . 1.05.01 . 15,Program Pengembangan Perumahan,130350000000,
1.04 . 1.05.01 . 15 . 02,Penyusunan Norma Standar Pedoman dan Manual (NSPM),900000000,
1.04 . 1.05.01 . 15 . 02 . 5 . 2 . 1,Belanja Pegawai,50925000,
1.04 . 1.05.01 . 15 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,849075000,
1.04 . 1.05.01 . 15 . 04,Sosialisasi peraturan perundang-undangan di bidang perumahan,300000000,
1.04 . 1.05.01 . 15 . 04 . 5 . 2 . 1,Belanja Pegawai,34025000,
1.04 . 1.05.01 . 15 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,265975000,
1.04 . 1.05.01 . 15 . 06,Fasilitasi dan stimulasi pembangunan perumahan masyarakat kurang mampu,26500000000,
1.04 . 1.05.01 . 15 . 06 . 5 . 2 . 1,Belanja Pegawai,938325000,
1.04 . 1.05.01 . 15 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,25561675000,
1.04 . 1.05.01 . 15 . 07,Pembangunan sarana dan prasarana rumah sederhana sehat,82000000000,
1.04 . 1.05.01 . 15 . 07 . 5 . 2 . 1,Belanja Pegawai,337525000,
1.04 . 1.05.01 . 15 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,8012475000,
1.04 . 1.05.01 . 15 . 07 . 5 . 2 . 3,Belanja Modal,73650000000,
1.04 . 1.05.01 . 15 . 08,Monitoring, evaluasi dan pelaporan,900000000
1.04 . 1.05.01 . 15 . 08 . 5 . 2 . 1,Belanja Pegawai,390525000,
1.04 . 1.05.01 . 15 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,509475000,
1.04 . 1.05.01 . 15 . 09,Pemeliharaan Sarana dan Prasarana Rumah Sederhana Sehat,13000000000,
1.04 . 1.05.01 . 15 . 09 . 5 . 2 . 1,Belanja Pegawai,291325000,
1.04 . 1.05.01 . 15 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,1483675000,
1.04 . 1.05.01 . 15 . 09 . 5 . 2 . 3,Belanja Modal,11225000000,
1.04 . 1.05.01 . 15 . 11,Pengelolaan Rumah Susun,6750000000,
1.04 . 1.05.01 . 15 . 11 . 5 . 2 . 1,Belanja Pegawai,195750000,
1.04 . 1.05.01 . 15 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,3877250000,
1.04 . 1.05.01 . 15 . 11 . 5 . 2 . 3,Belanja Modal,2677000000,
1.05 . 1.05.01 . 15,Program Perencanaan Tata Ruang,15972800000,
1.05 . 1.05.01 . 15 . 01,Penyusunan kebijakan tentang penyusunan rencana tata ruang,1000000000,
1.05 . 1.05.01 . 15 . 01 . 5 . 2 . 1,Belanja Pegawai,40300000,
1.05 . 1.05.01 . 15 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,959700000,
1.05 . 1.05.01 . 15 . 02,Penetapan kebijakan tentang RDTRK RTRK dan RTBL,1500000000,
1.05 . 1.05.01 . 15 . 02 . 5 . 2 . 1,Belanja Pegawai,41050000,
1.05 . 1.05.01 . 15 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,1458950000,
1.05 . 1.05.01 . 15 . 03,Sosialisasi peraturan perundang-undangan tentang rencana tata ruang,500000000,
1.05 . 1.05.01 . 15 . 03 . 5 . 2 . 1,Belanja Pegawai,19950000,
1.05 . 1.05.01 . 15 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,480050000,
1.05 . 1.05.01 . 15 . 07,Penyusunan Rencana tata Bangunan dan Lingkungan,1790385000,
1.05 . 1.05.01 . 15 . 07 . 5 . 2 . 1,Belanja Pegawai,41850000,
1.05 . 1.05.01 . 15 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,1748535000,
1.05 . 1.05.01 . 15 . 13,Survey dan pemetaan,10000000000,
1.05 . 1.05.01 . 15 . 13 . 5 . 2 . 1,Belanja Pegawai,55475000,
1.05 . 1.05.01 . 15 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,9944525000,
1.05 . 1.05.01 . 15 . 15,Monitoring evaluasi dan pelaporan,1182415000,
1.05 . 1.05.01 . 15 . 15 . 5 . 2 . 1,Belanja Pegawai,38325000,
1.05 . 1.05.01 . 15 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,1144090000,
1.04 . 1.05.01 . 16,Program Lingkungan Sehat Perumahan,20212880000,
1.04 . 1.05.01 . 16 . 02,Penyediaan sarana air bersih dan sanitasi dasar terutama bagi masyarakat miskin,13000000000,
1.04 . 1.05.01 . 16 . 02 . 5 . 2 . 1,Belanja Pegawai,77550000,
1.04 . 1.05.01 . 16 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,999550000,
1.04 . 1.05.01 . 16 . 02 . 5 . 2 . 3,Belanja Modal,11922900000,
1.04 . 1.05.01 . 16 . 03,Penyuluhan dan pengawasan kualitas lingkungan sehat perumahan,400000000,
1.04 . 1.05.01 . 16 . 03 . 5 . 2 . 1,Belanja Pegawai,25925000,
1.04 . 1.05.01 . 16 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,374075000,
1.04 . 1.05.01 . 16 . 11,Penyediaan Sarana Air Bersih/Air MinumTerutama bagi Masyarakat Miskin (DAK),3197090000,
1.04 . 1.05.01 . 16 . 11 . 5 . 2 . 3,Belanja Modal,3197090000,
1.04 . 1.05.01 . 16 . 12,Penyediaan Sarana Air Bersih/Air MinumTerutama bagi Masyarakat Miskin (Pendamping DAK),500000000,
1.04 . 1.05.01 . 16 . 12 . 5 . 2 . 3,Belanja Modal,500000000,
1.04 . 1.05.01 . 16 . 13,Penyediaan Sanitasi Dasar Terutama bagi Masyarakat Miskin (DAK),2615790000,
1.04 . 1.05.01 . 16 . 13 . 5 . 2 . 3,Belanja Modal,2615790000,
1.04 . 1.05.01 . 16 . 14,Penyediaan Sanitasi Dasar Terutama bagi Masyarakat Miskin (Pendamping DAK),500000000,
1.04 . 1.05.01 . 16 . 14 . 5 . 2 . 3,Belanja Modal,500000000,
1.05 . 1.05.01 . 16,Program Pemanfaatan Ruang,1473675000,
1.05 . 1.05.01 . 16 . 01,Penyusunan kebijakan peizinan pemanfaatan ruang,300000000,
1.05 . 1.05.01 . 16 . 01 . 5 . 2 . 1,Belanja Pegawai,16075000,
1.05 . 1.05.01 . 16 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,283925000,
1.05 . 1.05.01 . 16 . 05,Survey dan pemetaan,750000000,
1.05 . 1.05.01 . 16 . 05 . 5 . 2 . 1,Belanja Pegawai,19575000,
1.05 . 1.05.01 . 16 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,730425000,
1.05 . 1.05.01 . 16 . 07,Sosialisasi kebijakan Norma Standar Prosedur dan Manual pemanfaatan ruang,200000000,
1.05 . 1.05.01 . 16 . 07 . 5 . 2 . 1,Belanja Pegawai,12925000,
1.05 . 1.05.01 . 16 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,187075000,
1.05 . 1.05.01 . 16 . 12,Penyusunan Sistem Informasi Tata Ruang dan Cipta Karya,223675000,
1.05 . 1.05.01 . 16 . 12 . 5 . 2 . 1,Belanja Pegawai,17100000,
1.05 . 1.05.01 . 16 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,206575000,
1.04 . 1.05.01 . 17,Program Pemberdayaan Komunitas Perumahan,1000000000,
1.04 . 1.05.01 . 17 . 02,Fasilitasi pembangunan prasarana dan sarana dasar pemukiman berbasis masyarakat,1000000000,
1.04 . 1.05.01 . 17 . 02 . 5 . 2 . 1,Belanja Pegawai,51725000,
1.04 . 1.05.01 . 17 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,587725000,
1.04 . 1.05.01 . 17 . 02 . 5 . 2 . 3,Belanja Modal,360550000,
1.24 . 1.05.01 . 17,Program pemeliharaan rutin/berkala sarana dan prasarana kearsipan,500000000,
1.24 . 1.05.01 . 17 . 01,Pemeliharaan rutin/berkala sarana pengolahan dan penyimpanan arsip,500000000,
1.24 . 1.05.01 . 17 . 01 . 5 . 2 . 1,Belanja Pegawai,46425000,
1.24 . 1.05.01 . 17 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,453575000,
1.05 . 1.05.01 . 17,Program Pengendalian Pemanfaatan Ruang,1000000000,
1.05 . 1.05.01 . 17 . 08,Monitoring Evaluasi dan pelaporan,600000000,
1.05 . 1.05.01 . 17 . 08 . 5 . 2 . 1,Belanja Pegawai,57500000,
1.05 . 1.05.01 . 17 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,542500000,
1.05 . 1.05.01 . 17 . 15,Fasilitasi Penanganan Penertiban Pengaduan dan Sengketa,400000000,
1.05 . 1.05.01 . 17 . 15 . 5 . 2 . 1,Belanja Pegawai,64725000,
1.05 . 1.05.01 . 17 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,335275000,
2.06 . 1.05.01 . 19,Program pembinaan pedagang kakilima dan asongan,1000000000,
2.06 . 1.05.01 . 19 . 03,Kegiatan penataan tempat berusaha bagi  pedagang kakilima dan asongan,1000000000,
2.06 . 1.05.01 . 19 . 03 . 5 . 2 . 1,Belanja Pegawai,24375000,
2.06 . 1.05.01 . 19 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,167000000,
2.06 . 1.05.01 . 19 . 03 . 5 . 2 . 3,Belanja Modal,808625000,
2.07 . 1.05.01 . 20, Program Pembinaan Lingkungan Hidup,573281000,
2.07 . 1.05.01 . 20 . 01,Penetapan Kawasan Tanpa Asap Rokok dan Penyediaan Tempat Khusus Merokok,573281000,
2.07 . 1.05.01 . 20 . 01 . 5 . 2 . 1,Belanja Pegawai,19475000,
2.07 . 1.05.01 . 20 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,73206000,
2.07 . 1.05.01 . 20 . 01 . 5 . 2 . 3,Belanja Modal,480600000,
1.06 . 1.05.01 . 23,Program perencanaan sosial dan budaya,350000000,
1.06 . 1.05.01 . 23 . 08,Pendukung Operasional P2KP,350000000,
1.06 . 1.05.01 . 23 . 08 . 5 . 2 . 1,Belanja Pegawai,210515000,
1.06 . 1.05.01 . 23 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,139485000,
1.03 . 1.05.01 . 31,Program Peningkatan Kualitas dan Penertiban Bangunan Serta Pembangunan Bangunan,52300000000,
1.03 . 1.05.01 . 31 . 01,Pengawasan Bangunan,400000000,
1.03 . 1.05.01 . 31 . 01 . 5 . 2 . 1,Belanja Pegawai,60775000,
1.03 . 1.05.01 . 31 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,339225000,
1.03 . 1.05.01 . 31 . 02,Penertiban Bangunan,350000000,
1.03 . 1.05.01 . 31 . 02 . 5 . 2 . 1,Belanja Pegawai,58050000,
1.03 . 1.05.01 . 31 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,291950000,
1.03 . 1.05.01 . 31 . 03,Pendataan dan Penggambaran Bangunan Pemkot,2000000000,
1.03 . 1.05.01 . 31 . 03 . 5 . 2 . 1,Belanja Pegawai,151500000,
1.03 . 1.05.01 . 31 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,1848500000,
1.03 . 1.05.01 . 31 . 06,Sosialisasi Peraturan tentang Bangunan,300000000,
1.03 . 1.05.01 . 31 . 06 . 5 . 2 . 1,Belanja Pegawai,18925000,
1.03 . 1.05.01 . 31 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,281075000,
1.03 . 1.05.01 . 31 . 08,Pendataan Bangunan,1000000000,
1.03 . 1.05.01 . 31 . 08 . 5 . 2 . 1,Belanja Pegawai,30975000,
1.03 . 1.05.01 . 31 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,969025000,
1.03 . 1.05.01 . 31 . 11,Penyusunan Detail Engineering Design,48250000000,
1.03 . 1.05.01 . 31 . 11 . 5 . 2 . 1,Belanja Pegawai,28425000,
1.03 . 1.05.01 . 31 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,8221575000,
1.03 . 1.05.01 . 31 . 11 . 5 . 2 . 3,Belanja Modal,40000000000,
,SURPLUS / (DEFISIT),295820214365,
