nama_skpd,I-A,I-B,I-C,I-D,II-A,II-B,II-C,II-D,III-A,III-B,III-C,III-D,IV-A,IV-B,IV-C,IV-D,IV-E
Dinas Pendidikan,8,2,49,21,322,229,337,98,1220,1123,875,471,6033,1807,138,3,0
Dinas Pengelolaan Keuangan & Aset Daerah,0,0,1,1,5,2,13,6,13,37,22,17,8,1,1,0,0
Dinas Perhubungan,0,1,28,6,35,116,96,3,60,43,31,15,11,1,0,0,0
Dinas Pertanian & Ketahanan Pangan,0,0,1,0,5,4,15,2,11,22,13,21,9,3,1,0,0
Dinas Sosial,0,0,0,1,1,2,1,1,6,13,3,17,5,2,0,0,0
Dinas Tata Ruang & Cipta Karya,0,1,3,0,11,20,50,13,45,73,33,25,15,3,1,0,0
Dinas Tenaga Kerja,0,0,0,0,3,5,2,1,5,26,11,16,9,3,1,0,0
Satuan Polisi Pamong Praja,0,0,25,5,38,40,119,7,75,43,8,9,7,2,0,0,0
Rumah Sakit Khusus Gigi & Mulut,0,0,0,0,3,4,12,13,8,10,9,7,5,9,8,3,0
Rumah Sakit Khusus Ibu & Anak,0,0,0,0,2,14,10,30,45,22,14,13,5,3,1,1,1
Rumah Sakit Umum Daerah,0,0,2,0,7,20,33,61,71,46,30,35,12,8,6,0,0
Kantor Perpustakaan & Arsip Daerah,0,0,0,0,5,1,6,1,2,7,2,3,2,1,0,0,0
Kecamatan Andir,0,0,0,0,4,5,8,0,6,9,16,14,1,2,0,0,0
Kecamatan Antapani,0,0,0,0,2,2,5,0,5,4,13,8,5,1,0,0,0
Kecamatan Arcamanik,0,0,0,0,2,3,1,0,5,11,8,9,8,0,0,0,0
Kecamatan Astana Anyar,0,0,1,2,0,3,3,0,8,9,16,14,2,1,0,0,0
Kecamatan Babakan Ciparay,0,0,1,0,1,4,9,1,2,6,15,17,2,1,0,0,0
Kecamatan Bandung Kidul,0,0,1,0,1,3,6,2,3,8,6,14,3,1,0,0,0
Kecamatan Bandung Kulon,0,0,0,0,3,3,11,1,2,13,18,26,1,1,0,0,0
Kecamatan Bandung Wetan,0,0,0,0,1,4,4,1,3,4,9,10,3,1,0,0,0
Kecamatan Batununggal,0,0,0,0,3,4,6,0,4,8,18,23,3,1,0,0,0
Kecamatan Bojongloa Kaler,0,0,0,0,1,3,5,3,4,9,15,12,2,1,0,0,0
Kecamatan Bojongloa Kidul,0,0,0,0,2,6,8,1,3,9,15,14,1,1,0,0,0
Kecamatan Buahbatu,0,0,1,0,0,1,11,1,5,11,15,13,1,1,0,0,0
Kecamatan Cibeunying Kaler,0,0,0,0,3,4,8,1,5,6,8,12,3,1,0,0,0
Kecamatan Cibeunying Kidul,0,0,0,0,2,1,7,0,4,6,11,20,4,1,0,0,0
Kecamatan Cibiru,0,1,2,1,0,5,10,0,7,9,8,14,3,1,0,0,0
Kecamatan Cicendo,0,1,0,2,2,7,4,2,2,11,14,15,2,1,0,0,0
Kecamatan Cidadap,0,0,0,2,1,4,4,2,4,4,5,13,3,0,0,0,0
Kecamatan Cinambo,0,0,0,0,1,2,5,7,5,5,6,16,4,1,0,0,0
Kecamatan Coblong,0,0,1,1,2,2,6,1,5,4,22,17,1,1,0,0,0
Kecamatan Gedebage,0,0,0,0,1,3,7,1,6,6,11,14,2,1,0,0,0
Kecamatan Kiaracondong,0,0,1,0,1,1,7,1,5,6,15,17,6,1,0,0,0
Kecamatan Lengkong,0,0,1,0,2,6,7,0,7,6,17,22,6,1,0,0,0
Kecamatan Mandalajati,0,0,1,0,1,5,4,0,2,7,10,12,3,1,0,0,0
Kecamatan Panyileukan,1,1,1,0,1,6,9,1,2,7,13,13,1,1,0,0,0
Kecamatan Rancasari,0,0,0,0,2,5,6,1,5,10,7,12,4,1,0,0,0
Kecamatan Regol,0,0,0,0,2,5,6,2,9,9,18,16,2,1,0,0,0
Kecamatan Sukajadi,0,0,1,0,3,2,4,1,6,5,11,17,1,1,0,0,0
Kecamatan Sukasari,0,1,3,0,2,5,6,2,2,7,11,12,2,1,0,0,0
Kecamatan Sumur Bandung,0,0,1,0,2,5,5,0,1,11,7,12,4,1,0,0,0
Kecamatan Ujungberung,0,1,2,0,2,6,6,2,9,9,10,16,1,1,0,0,0
Komisi Pemilihan Umum,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0
