lokasi,nama_komoditas,2016-09-01,2016-09-02,2016-09-06,2016-09-07,2016-09-08,2016-09-09,2016-09-13,2016-09-14,2016-09-15,2016-09-16,2016-09-19,2016-09-21,2016-09-22,2016-09-23,2016-09-26,2016-09-27,2016-09-28,2016-09-30,2016-09-05,,,
Pasar Sederhana,Garam Beryodium Bata,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,,,
Pasar Sederhana,Garam Beryodium Halus,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,,
Pasar Sederhana,Tepung Terigu Cakra Kembar,8500,8500,8500,8500,8000,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,,,
Pasar Sederhana,Tepung Terigu Kunci,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,,,
Pasar Sederhana,Mie Instan,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,0,2200,2200,2200,,,
Pasar Sederhana,Cabe Rawit Hijau,35000,35000,50000,50000,50000,50000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,,,
Pasar Sederhana,Kacang Hijau,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,,,
Pasar Sederhana,Susu Bubuk Dancow,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,41200,,,
Pasar Sederhana,Susu Bubuk Indomilk,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,,,
Pasar Sederhana,Ikan Kembung,0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,,,
