id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan,
662937,Belanja CCTV,4000000000,Lelang Umum,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Perencanaan dan Pengembangan KEbijakan Komunikasi dan Infomasi,Modal,Barang,80 Unit,Bandung,Belanja CCTV,APBD,4000000000,1.25.25.01.15.07,Lelang Umum,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
1679328,Pengadaan Software,15000000000,Lelang Umum,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Perencanaan dan Pengembangan Kebijakan Komunikasi dan Informasi,Barang/jasa,Barang,1 Paket,Bandung,Pengadaan Software,APBD,15000000000,1.25.25.01.15.07,Lelang Umum,03/02/2014,25/02/2014,04/03/2014,10/12/2014,Pengadaan Software (665160) 
656397,Leasedline Fiber Optic,1500000000,Lelang Umum,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pengkajian dan Pengembangan Sistem Informasi,Barang/jasa,Jasa Lainnya,1 Paket,Bandung,Belanja Leasedline Fiber Optic,APBD,1500000000,1.25.25.01.15.06,Lelang Umum,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
656425,Colocation Server,74950000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pengkajian dan Pengembangan Sistem Informasi,Barang/jasa,Jasa Lainnya,12 Bulan,Bandung,Colocation Server,APBD,74950000,1.25.25.01.15.06,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
660295,Belanja Cetak,213100000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Penyediaan Barang Cetakan dan Penggadaan,Barang/jasa,Barang,3 paket,Bandung,Belanja Cetak,APBD,213100000,1.25.25.01.01.11,Pengadaan Langsung,03/02/2014,25/02/2014,25/02/2014,10/12/2014,
662506,Sosialisasi/ Kerjasama Media Massa Elektronik,435000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pengadaan Alat Studio dan Komunikasi,Barang/jasa,Jasa Lainnya,12 Bulan,Bandung,Sosialisasi / Kerjasama Media Massa Elektronik,APBD,435000000,1.25.25.01.15.05,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
663090,Belanja Pengadaan Workstation Dual Monitor,600000000,Lelang Umum,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Perencanaan dan Pengembangan KEbijakan Komunikasi dan Informasi,Barang/jasa,Barang,15 Unit,Bandung,Belanja PEngadaan Workstation,APBD,600000000,1.25.25.01.15.07,Lelang Umum,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
665050,UPS / Stabilizer,210000000,Lelang Umum,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Perencanaan dan Pengembangan Kebijakan Komunikasi dan Informaatika,Modal,Barang,7 Unit,Bandung,UPS / Stabilizer,APBD,210000000,1.25.25.01.15.07,Lelang Umum,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
665390,Cetak,49500000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,"Monitoring, Evaluasi dan Pelaporan",Barang/jasa,Jasa Lainnya,1 Paket,Bandung,Belanja Cetak,APBD,49500000,1.25.25.01.15.08,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
665424,Sosialisasi,165000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,"Monitoring, Evaluasi dan Pelaporan",Barang/jasa,Jasa Lainnya,1 Paket,Bandung,Sosialisasi,APBD,165000000,1.25.25.01.15.08,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
1679334,Pengadaan Software GIS,300000000,Lelang Sederhana,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Perencanaan dan Pengembangan Kebijakan Komunikasi dan Informasi,Barang/jasa,Barang,1 Paket,Bandung,PEngadaan Software GIS,APBD,300000000,1.25.25.01.15.07,Lelang Sederhana,03/02/2014,25/02/2014,04/03/2014,10/12/2014,Pengadaan Software GIS (665185) 
665798,Sosialisai,676000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Penyebarluasan Informasi yang BErsifat Penyuluhan Bagi Masyarakat,Barang/jasa,Jasa Lainnya,20 Paket,Bandung,Sosialisasi,APBD,676000000,1.25.25.01.18.03,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
665207,Pengadaan Alat GPS,175000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Perencanaan dan Pengembangan KEbijakan Komunikasi dan Informatika,Modal,Barang,50 Unit,Bandung,Pengadaan Alat GPS,APBD,175000000,1.25.25.01.15.07,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
659788,Belanja Monitor ,100000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pengkajian dan Pengembangan Kebijakan Komunikasi dan Informasi,Barang/jasa,Barang,1 Paket,Bandung,Belanja Monitor,APBD,100000000,1.25.25.01.15.06,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,11/03/2014,
660127,Alat Tulis Kantor,98950000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Penyedia Jasa PEmeliharaan dan PErizinan KEndaraan Dinas / Operasional,Barang/jasa,Barang,1 Paket,Bandung,ATK,APBD,98950000,1.25.25.01.01.10,Pengadaan Langsung,03/02/2014,25/02/2014,25/02/2014,10/12/2014,
665766,Belanja Jasa Konsultasi,69500000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Penyebarluasan Informasi Penyelenggaraan Pemerintah Daerah,Barang/jasa,Jasa Konsultansi,2 Paket,Bandung,Belanja Jasa Konsultsi,APBD,69500000,1.25.25.01.18.02,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
660000,BBM dan Pelumas,300000000,Penunjukan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Penyedia Jasa PEmeliharaan dan Perizinan KEndaraan Dinas ? Operasional,Barang/jasa,Barang,12 Bulan,Bandung,BBM dan Pelumas,APBD,300000000,1.25.25.01.01.06,Penunjukan Langsung,03/02/2014,25/02/2014,25/02/2014,10/12/2014,
638978,Jasa Pemasangan Iklan,2228970000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",Barang/jasa,Jasa Lainnya,12 Bulan,Bandung,Jasa Pemasangan Iklan,APBD,2228970000,1.25.25.01.01.02,Pengadaan Langsung,03/02/2014,10/12/2014,20/02/2014,10/12/2014,
661211,Komputer PC,283650000,Lelang Umum,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pengadaan Perlengkapan Aparatur,Modal,Barang,17 Unit,Bandung,Komputer,APBD,283650000,1.25.25.01.02.12,Lelang Umum,03/02/2014,25/02/2014,04/03/2014,11/03/2014,
662278,Bimtek,190000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Bimbingan Teknis Implementasi Peraturan Perundang-undangan,Barang/jasa,Jasa Lainnya,1 Paket,Bandung,Bimtek,APBD,190000000,1.25.25.01.05.03,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,11/03/2014,
661909,Kamera dan Lensa,39950000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pengadaan PErlengkapan Aparatur,Modal,Barang,2 unit,Bandung,Kamera dan Lensa,APBD,39950000,1.25.25.01.02.12,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,11/03/2014,
665533,Cetak,279000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Penyebarluasan Informasi Pembangunan Daerah,Barang/jasa,Jasa Lainnya,12 Bulan,Bandung,Cetak,APBD,279000000,1.25.25.01.18.01,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
665091,Peralatan Jaringan Komputer,150000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Perencanaan dan Pengembangan Kebijakan Komunikasi dan Informatika,Modal,Barang,1 Paket,Bandung,Peralatan jaringan komputer,APBD,150000000,1.25.25.01.15.07,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
687402,Jasa Konsultasi Pengembangan,50000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Perencanaan dan Pengembangan Kebijakan Komunikasi dan Informasi,Barang/jasa,Jasa Konsultansi,1 Paket,Bandung,Jasa Konsultasi Pengembangan,APBD,50000000,1.25.25.01.15.07,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
687528,Belannja Server,500000000,Lelang Umum,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Perencanaan dan Pengembangan Kebijakan Komunikasi dan Informasi,Modal,Barang,1 Paket,Bandung,Belanja server,APBD,500000000,1.25.25.01.15.07,Lelang Umum,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
665588,Sosialisasi,884000000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Penyebarluasan Informasi Pembangunan Daerah,Barang/jasa,Jasa Lainnya,34 Paket,Bandung,Sosialisasi,APBD,884000000,1.25.25.01.18.01,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
687208,Belanja Pemeliharaan,106575000,Pengadaan Langsung,N/A,Pemerintah Kota Bandung,DINAS KOMUNIKASI DAN INFORMATIKA,2014,Pengadaan Alat Studio dan Komunikasi,Barang/jasa,Jasa Lainnya,12 Bulan,Bandung,Belanja Pemeliharaan,APBD,106575000,1.25.25.01.15.05,Pengadaan Langsung,03/02/2014,25/02/2014,04/03/2014,10/12/2014,
