kecamatan,kelurahan,Pelindung,Produktif,Ditanam,Hidup,Sumur Resapan,Biopori,Sumber Dana
Astana Anyar,Karang Anyar,,,,,,,
Astana Anyar,Panjunan,,,,,,,
Astana Anyar,Cibadak,,,,,,,
Astana Anyar,Pelindung Hewan,,,,,,,
Bojongloa Kaler,Kopo,0,0,0,0,0,0,
Bojongloa Kaler,Babakan Tarogong,0,0,0,0,0,0,
Bojongloa Kaler,Jamika,0,0,0,0,0,0,
Bojongloa Kaler,Babakan Asih,0,0,0,0,2,0,
Bojongloa Kaler,Suka Asih,70,0,70,60,1,0,
Bojongloa Kidul,Situsaeur,,,,,,,
Bojongloa Kidul,Kebon Lega,,,,,,,
Bojongloa Kidul,Cibaduyut,,,,,,,
Bojongloa Kidul,Cibaduyut Kidul,,,,,,,
Bojongloa Kidul,Cibuduyut Wetan,,,,,,,
Bojongloa Kidul,Mekar Wangi,,,,,,,
Babakan Ciparay,Babakan,,,,,,,
Babakan Ciparay,Babakan Ciparay,,,,,,,
Babakan Ciparay,Sukahaji,,,,,,,
Babakan Ciparay,Margahayu Utara,,,,,,,
Babakan Ciparay,Margasuka,,,,,,,
Babakan Ciparay,Cirangrang,,,,,,,
Bandung Kulon,Warung Muncang,9,26,35,35,0,0,
Bandung Kulon,Cijerah,5,15,20,18,0,0,
Bandung Kulon,Cibuntu,9,26,35,35,0,0,
Bandung Kulon,Caringin,5,15,20,20,0,0,
Bandung Kulon,Cigondewah Kaler,5,15,20,18,0,0,
Bandung Kulon,Cigondewah Kidul,5,15,20,20,0,0,
Bandung Kulon,Cigondewah Rahayu,5,15,20,20,0,0,
Bandung Kulon,Gempolsari,9,21,30,28,0,0,
Regol,Pasirluyu ,0,0,0,0,,,
Regol,Ciseureuh ,0,0,0,0,,,
Regol,Cigareleng,0,0,0,0,,,
Regol,Ancol ,0,0,0,0,,,
Regol,Pungkur,55,0,55,55,,15,
Regol,Ciateul,0,0,0,0,,,
Regol,Balong Gede ,45,60,105,105,,,
Lengkong,Malabar,,,,,,,
Lengkong,Turangga,,,,,,,
Lengkong,Lingkar Selatan,,,,,,,
Lengkong,Cijagra,,,,,,,
Lengkong,Burangrang,,,,,,,
Lengkong,Paledang,,,,,,,
Lengkong,Cikawao,,,,,,,
Batununggal,Kebon Waru,55,144,99,99,2,25,
Batununggal,Kacapiring,11,2,13,11,4,54,
Batununggal,Gumuruh,15,39,11,9,5,97,
Batununggal,Kebon Gedang,4,7,7,6,3,5,
Batununggal,Samoja,0,0,0,0,3,8,
Batununggal,Cibangkong,14,20,11,10,6,55,
Batununggal,Maleer,34,7,40,34,4,9,
Batununggal,Binong,9,0,12,11,4,69,
Ujungberung,Pasir Endah,,,,,,,
Ujungberung,Cigending,,,,,,,
Ujungberung,Pasir Wangi,,,,,,,
Ujungberung,Pasirjati,,,,,,,
Ujungberung,Pasanggrahan,,,,,,,
Kiaracondong,Sukapura,0,5,5,5,0,10,swadaya
Kiaracondong,Kebon Jayanti,9,3,12,11,0,0,
Kiaracondong,Babakan Surabaya,20,20,40,35,2,9,APBD
Kiaracondong,Cicaheum,12,5,17,9,1,0,
Kiaracondong,Babakan Sari,63,36,99,99,0,0,APBD
Kiaracondong,Kebun Kangkung,4,5,9,9,3,0,
Arcamanik,Sukamiskin,0,0,0,0,0,0,
Arcamanik,Cisaranten Bina Harapan,0,0,0,0,0,0,
Arcamanik,Cisaranten Endah,0,0,0,0,0,0,
Arcamanik,Cisaranten Kulon,0,0,0,0,0,0,
Cibiru,Palasari,,,,,,,
Cibiru,Cipadung,,,,,,,
Cibiru,Pasir Biru,,,,,,,
Cibiru,Cisurupan (+lain2),,,,,,,
Antapani,Antapani Kulon,,,,,,,
Antapani,Antapani Wetan,0,0,0,0,0,0,
Antapani,Antapani Tengah,0,0,0,0,0,0,
Antapani,Antapani Kidul,0,0,0,0,0,28,
Rancasari,Cipamokolan,0,0,0,0,0,33,
Rancasari,Derwati,16,25,41,41,8,19,
Rancasari,Manjahlega,5,5,10,10,5,21,
Rancasari,Mekar Jaya,5,60,65,54,27,29,
Buahbatu,Sekejati,15,5,20,20,2,35,
Buahbatu,Margasari,,,,,,,
Buahbatu,Cijaura,,,,,,,
Buahbatu,Jati Sari,,,,,,,
Bandung Kidul,Batununggal,,,,,,,
Bandung Kidul,Kujangsari,10,15,25,25,1,10,
Bandung Kidul,Mengger,17,15,32,30,1,8,
Bandung Kidul,Wates,17,7,24,24,1,4,
Gedebage,Rancabolang,9,8,17,17,1,4,
Gedebage,Cimencrang,,,,,,,
Gedebage,Cisaranten Kidul,,,,,,,
Gedebage,Rancanumpang,,,,,,,
Panyileukan,Cipadung Kidul,,,,,,,
Panyileukan,Mekar Mulya ,21,24,45,45,0,29,
Panyileukan,Cipadung Wetan,0,0,0,0,0,0,
Panyileukan,Cipadung Kulon,25,15,40,35,0,10,
Cinambo,Pakemitan,27,21,48,44,3,4,
Cinambo,Sukamulya,,,,,,,
Cinambo,Cisaranten Wetan,,,,,,,
Cinambo,Babakan Penghulu,,,,,,,
Mandalajati,Jatihandap,,,,,,,
Mandalajati,Karang Pamulang,750,,750,,12,1600,
Mandalajati,Pasir Impun,,,,,,12505,
Mandalajati,Sindang Jaya,400,,400,,,100,
,,,,,,12,12,
