nama_kegiatan,skpd,harga_kontrak,nomor,nama_pekerjaan,metode,npwp,nama_perusahaan,alamat,hps,penawaran,setelah_negosiasi,alamat_pemenang,npwp
Co-Location Server Database E-Proc,Badan Perencanaan dan Pembangunan Daerah,77440000,02/23.07/Pengumuman.PPBJ-LPSE/I,BTS-03 Pasangan TPT Sal. Ciharalang Kec. Cibeunying Kidul,Pengadaan Langsung,31.511.626.9-421.000,CV. KINABALU,Perum Cipatat Elok Blok C.18,143634141,143159650,143011150,CV. KINABALU Perum Cipatat Elok Blok C.18,31.511.626.9-421.000
Belanja Kawat/faksimili/internet Co-Location Server Database,Badan Perencanaan dan Pembangunan Daerah,77440000,02/23.08/Pengumuman.PPBJ-BIRMS/I,BTS-46 Pasangan TPT Sal. Citalagapasir Kec. Sukasari,Pengadaan Langsung,01.935.662.5-429.000,CV. TRANSPERSADA SEJAHTERA,Jl. MARGACINTA NO.4 BANDUNG,146123522,145658480,145592040,CV. TRANSPERSADA SEJAHTERA Jl. MARGACINTA NO.4 BANDUNG,01.935.662.5-429.000
Belanja Kawat/Faksimili/internet Co-Location Server System,Badan Perencanaan dan Pembangunan Daerah,77440000,01/23.08/Pengumuman.PPBJ-BIRMS/I,Rehabilitasi/Pemeliharaan Periodik JL. Antapani (Terminal Cicaheum),Pengadaan Langsung,02.241.792.7-423.000,CV TRIA KUSUMAH,jl. Sapujagat No. 19A Bandung,141716450,141113700,140653430,CV TRIA KUSUMAH jl. Sapujagat No. 19A Bandung,02.241.792.7-423.000
Belanja Cetak Buku Saku RPJMD & Belanja Cetak Buku RPJMD,Badan Perencanaan dan Pembangunan Daerah,199375000,07.09/V/21.05/PPBJ/2014,PPS-30 Pengerukan Sedimen Sal. Citalang Kec. Antapani,Pengadaan Langsung,01.612.200.4-429.000,CV. BINA PUTRA NUGRAHA,JALAN ANTAPANI 4 NO. 22 BANDUNG,68689998,68471660,68378160,CV. BINA PUTRA NUGRAHA JALAN ANTAPANI 4 NO. 22 BANDUNG,01.612.200.4-429.000
Cetak Buku RKPD Kota Bandung Tahun 2015,Badan Perencanaan dan Pembangunan Daerah,74503000,07/21.08/VI-CtkRKPD/PPBJ/14,"Pengerukan Saluran, Tali air dan Gorong-gorong Jl.Kebon jati, Jl.Gardujati, Jl.Dulatip",Pengadaan Langsung,01.280.297.1-424.000,CV. SATRYA KENCANA,Jl. Parakan Arum No. 2 Bandung,145113519,144216240,143985240,CV. SATRYA KENCANA Jl. Parakan Arum No. 2 Bandung,01.280.297.1-424.000
Belanja Modal Pengadaan Komputer Notebook,Badan Perencanaan dan Pembangunan Daerah,79706000,06.01/VIII/02.12/PPBJ/2014,Pengadaan GPS Geodetic,Pengadaan Langsung,01.450.248.8-424.000,CV. HALMAHERA,Jl. Jakarta No. 20-22 Hunian Kav. 3 Bandung,199980000,198605000,198000000,CV. HALMAHERA Jl. Jakarta No. 20-22 Hunian Kav. 3 Bandung,01.450.248.8-424.000
Belanja Makanan dan Minuman Kegiatan City Sanitation Summit XIV,Badan Perencanaan dan Pembangunan Daerah,178500000,07.01/IX/21.01/PPBJ/2014,Belanja Jasa Penyelenggara Acara,Pengadaan Langsung,31.633.563.7-429.000,PT. GARIZ INFORMA SISTEM,Jl. Vijaya Kusuma II No. 29 RT 002/007 Kel Pasir Indah Kec. Ujung Berung,138683600,137986750,137329500,PT. GARIZ INFORMA SISTEM Jl. Vijaya Kusuma II No. 29 RT 002/007 Kel Pasir Indah Kec. Ujung Berung,31.633.563.7-429.000
Belanja Cetak,Badan Perencanaan dan Pembangunan Daerah,69778500,07.02/21.01/PPBJ-TR&SP/2014,Pengadaan Tempat Tidur,Pengadaan Langsung,07.231.695.3-424.000,PD. PELAJAR PEJUANG,Jl. Pelajar Pejuang 45 No. 86 A,196020000,190938000,186582000,PD. PELAJAR PEJUANG Jl. Pelajar Pejuang 45 No. 86 A,07.231.695.3-424.000
Belanja Jasa Konsultansi Perencanaan Penyusunan Aplikasi Penunjukan Langsung,Badan Perencanaan dan Pembangunan Daerah,49170000,07.05/23.08/VII/PPBJ/2014,Rehabilitasi Sedang/Berat Kantor Klinik Hewan,Pengadaan Langsung,02.046.746.0-429.000,CV. ESTRIO HUTAMA,Jl. Saluyu B XIII No. 332 Bandung 40292,68872396,68591340,68185990,CV. ESTRIO HUTAMA Jl. Saluyu B XIII No. 332 Bandung 40292,02.046.746.0-429.000
Belanja Jasa Konsultansi Perencanaan,Badan Perencanaan dan Pembangunan Daerah,49841000,12/19.18/TR&SPBapp/2014,Belanja Hibah Barang/Jasa yang Akan Diserahkan kepada Pihak Ketiga/Masyarakat,Pengadaan Langsung,02.629.405.8-424.000,CV. KAMANGKORA GENTRA WIWAHA,kompleks margahayu raya barat blok SII no.46 jl. soekarno hatta,159357000,158521000,158125550,CV. KAMANGKORA GENTRA WIWAHA kompleks margahayu raya barat blok SII no.46 jl. soekarno hatta,02.629.405.8-424.000
Belanja Penyusunan Dokumen Implementasi Keamanan Informasi (KAMI),Badan Perencanaan dan Pembangunan Daerah,39160000,16/23.07/PPPL.PPBJ-LPSE/IX,Peningkatan jalan lingkungan Rw. 07 Rt. 02 Kel. Karang Pamulang (Paket 50),Pengadaan Langsung,01.665.742.1-422.000,CV. CITRA RAYA,jl. kurdi timur 23 bandung,83802563,82277740,81892740,CV. CITRA RAYA jl. kurdi timur 23 bandung,01.665.742.1-422.000
"Belanja Cetak Buku DBPM 2014, DBPD 2013 dan Profil Daerah 2013",Badan Perencanaan dan Pembangunan Daerah,50558750,07.01/15.02/PPBJ/2014,Perbaikan Drainase Lingkungan Tipe 2 Sistem limpasan paket 20 Gg.Jaya&Gg.Kebon Cokelat Kel. Pungkur Kec.Regol,Pengadaan Langsung,01.784.579.3-441.000,PT. ANDHIKA KARYA UTAMA MANDIRI,Jalan Tulip Mekar No. 6 Bandung,149998164,148379130,148083550,PT. ANDHIKA KARYA UTAMA MANDIRI Jalan Tulip Mekar No. 6 Bandung,01.784.579.3-441.000
Belanja Jasa Konsultansi Perencanaan,Badan Perencanaan dan Pembangunan Daerah,49390000,07.10/15.11/PPBJ/2014,Belanja Modal Pengadaan Kontruksi/ Pembelian Gedung,Pengadaan Langsung,31.454.113.7-429.000,CV. DIAN PRATAMA,Jl. Haruman Sari No.145 Bandung,174981956,173317910,173317910,CV. DIAN PRATAMA Jl. Haruman Sari No.145 Bandung,31.454.113.7-429.000
Belanja Jasa Konsultansi Perencanaan,Badan Perencanaan dan Pembangunan Daerah,34760000,11/27.01/TR&SPBapp/2014,Belanja modal Pengadaan komputer mainframe/server (Sistem informasi terhadap layanan publik) & Belanja modal Pengadaan komputer mainframe/server (PATEN Kecamatan Kiaracondong),Pengadaan Langsung,02.081.041.2-422.000,CV. GUNA PUTRA PRATAMA,Jl. Sauyunan Raya No. 2 A,114609000,113850000,113300000,CV. GUNA PUTRA PRATAMA Jl. Sauyunan Raya No. 2 A,02.081.041.2-422.000
Belanja Cetak,Badan Perencanaan dan Pembangunan Daerah,84826500,07.03/28.07/XI/PPBJ/2014,Belanja Modal Pengadaan Konstruksi/Gedung Kantor/ Perbaikan Ruang Pelayanan Kantor kelurahan Sukawarna,Pengadaan Langsung,02.789.353.6-429.000,CV. SELARAS CAKRA UTAMI,Jl. Inten Mulia VII D5 No.2 Komp. Bandung Inten Derwati Bandung,24915753,59802460,59702410,CV. SELARAS CAKRA UTAMI Jl. Inten Mulia VII D5 No.2 Komp. Bandung Inten Derwati Bandung,02.789.353.6-429.000
Cetak Brosur Data Investasi Kota Bandung 2014 (English) & Cetak Brosur Data Investasi Kota Bandung 2014 & Cetak Buku Data Investasi Kota Bandung 2014 (English) & Cetak Buku Data Investasi Kota Bandung 2014,Badan Perencanaan dan Pembangunan Daerah,65010000,07.12/15.02/PPBJ/2014,obat paten yang tidak ada generiknya,Pengadaan Langsung,01.061.248.9-051.000,PT. RAJAWALI NUSINDO,Jalan Soekarno Hatta No. 493,199995609,194277540,194159290,PT. RAJAWALI NUSINDO Jalan Soekarno Hatta No. 493,01.061.248.9-051.000
Belanja Cetak,Badan Perencanaan dan Pembangunan Daerah,69300000,07.05/28.08/XI/PPBJ/2014,Belanja Pengadaan AC,Pengadaan Langsung,01.146.567.1-424.000,CV. KARYA BARU,Jl. Rd. Jibja No. 43/211 B Cicaheum Kota Bandung 40282,102392400,102258200,102202100,CV. KARYA BARU Jl. Rd. Jibja No. 43/211 B Cicaheum Kota Bandung 40282,01.146.567.1-424.000
Belanja Modal Pengadaan Filling Kabinet & Belaja Modal Pengadaan Pesawat Televisi,Badan Perencanaan dan Pembangunan Daerah,52662500,11/01.13-SekretBapp/2014,Pengadaan infocus di lingkungan Balaikota,Pengadaan Langsung,03.145.173.5-444.000,CV. WISKA RAHAYU,Jl. Kaktus I No. 9 Blok VII Bumi Rancaekek Kencana Bandung 40394,74800000,74580000,74250000,CV. WISKA RAHAYU Jl. Kaktus I No. 9 Blok VII Bumi Rancaekek Kencana Bandung 40394,03.145.173.5-444.000
Belanja Bimbingan Teknis,Badan Perencanaan dan Pembangunan Daerah,101271500,11/20.01-SekretBapp/2014,Jasa Pengamanan Kantor di Lingkungan Balaikota Bulan Maret,Pengadaan Langsung,02.790.666.8-428.000,CV. RAHASONA UTAMA MANDIRI,Jl. Sederhana No. 42c/61 SUKAJADI,134999920,134658700,134340250,CV. RAHASONA UTAMA MANDIRI Jl. Sederhana No. 42c/61 SUKAJADI,02.790.666.8-428.000
Belanja Jasa Konsultansi Aplikasi Pelaporan SPSE,Badan Perencanaan dan Pembangunan Daerah,48222900,19/23.07/PPPL.PPBJ-LPSE/XII,Perbaikan gedung lantai I Eks. Gedung DPRD,Pengadaan Langsung,31.308.657.1-422.000,CV. CITRA MANDIRI,Jl. Karasak No.38C Astana Anyar Bandung,189701471,189503470,189162470,CV. CITRA MANDIRI Jl. Karasak No.38C Astana Anyar Bandung,31.308.657.1-422.000
Belanja Jasa Kosultansi Sistem Informasi Administrasi Tata Usaha,Badan Perencanaan dan Pembangunan Daerah,42977550,07/23.14/PPPL.PPBJ-LPSE/XII,Pembuatan mushola sebelah kiri pos jaga,Pengadaan Langsung,01.691.602.5-423.000,CV. EDMA KHARISMA MULYA,Jl. ABC Pasar Cikapundung Baru D20,131064629,129262230,128599770,CV. EDMA KHARISMA MULYA Jl. ABC Pasar Cikapundung Baru D20,01.691.602.5-423.000
Pengadaan bahan bakar minyak,Badan Kepegawaian Daerah,118680000,027/07/PJP-02.24-1/BKD/I/2014,Belanja Kawat/faksimili/internet Co-Location Server Database,Pengadaan Langsung,01.594.102.4-003.000,PT COMTRONICS SYSTEM,Setrasari Mall Blok B4 Kav.74,77863500,77621500,77440000,PT COMTRONICS SYSTEM Setrasari Mall Blok B4 Kav.74,01.594.102.4-003.000
Makanan dan Minuman Kegiatan Pendidikan dan Pelatihan Teknologi Informasi Perkantoran,Badan Kepegawaian Daerah,79852500,027/07/PJP-32.03-2/BKD/III/2014,Pengadaan peralatan jaringan komputer & Pengadaan komputer PC & Pengadaan komputer notebook,Pengadaan Langsung,02.778.760.5-423.000,CV LARAS INTI ABADI,Jl. Sukaharja I No.81,153653500,153140900,152713000,CV LARAS INTI ABADI Jl. Sukaharja I No.81,02.778.760.5-423.000
Pengadaan alat tulis kantor,Badan Kepegawaian Daerah,100020800,027/07/PJP-01.10-1/BKD/III/2014,Belanja Modal Pengadaan Printer,Pengadaan Langsung,01.588.504.9-424.000,CV. ADIATAMA,JL. Pasundan 94/19 A,97113500,96915500,96541500,CV. ADIATAMA JL. Pasundan 94/19 A,01.588.504.9-424.000
makanan dan minuman kegiatan pemberkasan tenaga honorer kategori II & Sewa tempat pemberkasan tenaga honorer kategori II,Badan Kepegawaian Daerah,95898000,027/07/PJP-33.27-2/BKD/IV/2014,Belanja Cetak Transaksi Pemberdayaan Aset,Pengadaan Langsung,35.954.849.2-429.000,PD. MARGACINTA,Jl. Batu Permata No. 3,99902000,99167200,98432400,PD. MARGACINTA Jl. Batu Permata No. 3,35.954.849.2-429.000
Penataan ruangan Badan Kepegawaian Daerah Kota Bandung,Badan Kepegawaian Daerah,159406020,027/07/PJP-02.42-2/BKD/IV/2014,Pengadaan bahan material konstruksi Tahap 9 (Bangku Batu alam Type E),Pengadaan Langsung,66.436.232.4-429.000,PT. GEDEBAGE MAKMUR ABADI,Griya Cempaka Arum C-2 No. 42,194683500,194238000,193347000,PT. GEDEBAGE MAKMUR ABADI Griya Cempaka Arum C-2 No. 42,66.436.232.4-429.000
Pengadaan makanan dan minuman harian pegawai bulan Pebruari s/d Mei 2014,Badan Kepegawaian Daerah,54331200,027/07/PJP-01.17-1/BKD/I/2014,Peningkatan Jl. Hijau Daun,Pengadaan Langsung,01.977.455.3-424.000,CV. ARDYANE KARYA,Jl. Parakan Arum no. 22,199220633,198256980,197895160,CV. ARDYANE KARYA Jl. Parakan Arum no. 22,01.977.455.3-424.000
Pengadaan komputer PC,Badan Kepegawaian Daerah,69454000,027/07/PJP-02.12-1/BKD/V/2014,BDS.04 PASANGAN TEMBOK PENAHAN TANAH S. CIPAGALO IV KECAMATAN ARCAMANIK,Pengadaan Langsung,01.118.362.1-422.000,CV. MANUNGGAL UTAMA,Jl. Bojongloa No. 179/92,89945525,89946140,89699740,CV. MANUNGGAL UTAMA Jl. Bojongloa No. 179/92,01.118.362.1-422.000
Pengadaan cetakan blanko daftar gaji,Badan Kepegawaian Daerah,108009000,027/07/PJP-01.11-1/BKD/V/2014,Peningkatan Jl.Kesehatan,Pengadaan Langsung,1.93586E+13,CV. PANDAN JATI,Jl. Babakan Sari II No 10 Kiara Condong Bandung 40283,140860341,140167950,139766580,CV. PANDAN JATI Jl. Babakan Sari II No 10 Kiara Condong Bandung 40283,01.935.864.7-424.000
Pengadaan mobile file system,Badan Kepegawaian Daerah,55440000,027/07/PJP-01.13-1/BKD/V/2014,Jl. Margacinta Dalam,Pengadaan Langsung,31.322.350.5-446.000,CV.FASYA TEKNIK,PER.GRIYA JATINANGOR i jL.Seroja Iv No.1 Rt.02/10 Ds.Sukarapih Sukasari Sumedang,117211134,117024260,116542580,CV.FASYA TEKNIK PER.GRIYA JATINANGOR i jL.Seroja Iv No.1 Rt.02/10 Ds.Sukarapih Sukasari Sumedang,31.322.350.5-446.000
Makanan dan minuman kegiatan bimbingan teknis penyusunan laporan keuangan berbasis akrual,Badan Kepegawaian Daerah,60000000,027/07/PJP-32.03-3/BKD/V/2014,SS.16. PASANGAN TPT S. CITEPUS II KEC. ANDIR,Pengadaan Langsung,01.427.543.2-445.000,CV.BINA DHARMA,Komp.Pasir Madur endah II Blok A4 15-16 kab. Bandung,169241305,168531330,168342130,CV.BINA DHARMA Komp.Pasir Madur endah II Blok A4 15-16 kab. Bandung,01.427.543.2-445.000
Pengadaan bahan bakar minyak,Badan Kepegawaian Daerah,114036000,027/07/PJP-02.24-3/BKD/IV/2014,Peningkatan Jl.Gurame,Pengadaan Langsung,01.895.800.9-424.000,CV. KILAT JAYA,Jl. Maskumambang No. 17,199025852,197965730,197564660,CV. KILAT JAYA Jl. Maskumambang No. 17,01.895.800.9-424.000
Jasa service kendaraan roda empat dan dua,Badan Kepegawaian Daerah,98499500,027/07/PJP-02.24-2/BKD/I/2014,Pengerukan Saluran Jl.Karang Tinggal,Pengadaan Langsung,02.497.267.1-429.000,CV. TATA SARANA KARYA,Jl. Merkuri Selatan VI No. 2 Margahayu Raya Bandung,52007848,51617670,51502170,CV. TATA SARANA KARYA Jl. Merkuri Selatan VI No. 2 Margahayu Raya Bandung,02.497.267.1-429.000
Pengadaan bahan bakar minyak,Badan Kepegawaian Daerah,118680000,027/07/PJP-02.24-4/BKD/VII/2014,Belanja ATK KIT kegiatan sosialisasi dan pelatihan penilik & pamong,Pengadaan Langsung,21.102.733.9-429.000,CV. KENCANA WANGI,Jl. Kencana Wangi Utara II No. 2,59609990,58381340,57428800,CV. KENCANA WANGI Jl. Kencana Wangi Utara II No. 2,21.102.733.9-429.000
Jasa konsultansi Penyusunan Blueprint/Masterplan Sistem Aplikasi Penilaian Kompetensi Berbasis Komputer,Badan Kepegawaian Daerah,39655000,027/07/PJP-39.01-1/BKD/IV/2014,Belanja Modal Pengadaan Pendingin Ruangan/AC & Belanja Modal Pengadaan Televisi LED & Belanja Modal Pengadaan Komputer/PC & Belanja Modal Pengadaan Komputer Notebook/Laptop & Belanja Modal Pengadaan Komputer Notebook/Tablet & Belanja Modal Pengadaan Printer & Belanja Modal Pengadaan Kulkas,Pengadaan Langsung,02.629.530.3-429.000,CV. JABAR MAJU SEJAHTERA,JALAN RIUNG PURNA VIII NO. 36 RIUNG BANDUNG,61287600,61064300,60900400,CV. JABAR MAJU SEJAHTERA JALAN RIUNG PURNA VIII NO. 36 RIUNG BANDUNG,02.629.530.3-429.000
Pengadaan Bahan Bakar Minyak,Badan Kepegawaian Daerah,97515000,027/07/PJP-02.24-5/BKD/X/2014,Belanja Pakaian Adat Daerah,Pengadaan Langsung,01.956.547.2-423.000,CV.GILANG KENCANA,Jl. Terbang Layang No. 50 Arcamanik,161698625,161635650,161572670,CV.GILANG KENCANA Jl. Terbang Layang No. 50 Arcamanik,01.956.547.2-423.000
Jasa konsultansi penyusunan standar kompetensi berbasis talents mapping,Badan Kepegawaian Daerah,23485000,027/07/PJP-33.23-1/BKD/X/2014,Belanja Pengadaan Traveler Bad,Pengadaan Langsung,31.163.457.0-423.000,PT. PERMATA FARM,Jl. Lapangan Supratman No. 5,199540000,195386000,194986000,PT. PERMATA FARM Jl. Lapangan Supratman No. 5,31.163.457.0-423.000
Kursus-kursus singkat/pelatihan penyegaran mindset pola kerja & Sewa sarana mobilitas darat kegiatan penyegaran mindset pola kerja,Badan Kepegawaian Daerah,128554800,027/07/PJP-33.28-2/BKD/XI/2014,Belanja Makan dan Minum Kegiatan,Pengadaan Langsung,01.548.520.4-429.000,CV. REZZY MULYA,JL. KUNINGAN RAYA NO. 32,56848000,56287000,56100000,CV. REZZY MULYA JL. KUNINGAN RAYA NO. 32,01.548.520.4-429.000
Pengadaan pakaian tradisional,Badan Kepegawaian Daerah,93234900,027/07/PJP-03.05-1/BKD/XII/2014,Belanja Makanan dan Minuman Kegiatan,Pengadaan Langsung,02.446.373.9-429.000,CV. MSP INTAN,Jl. Saluyu B-XVI No.475,86758200,86193000,84780000,CV. MSP INTAN Jl. Saluyu B-XVI No.475,02.446.373.9-429.000
Jasa konsultansi pembuatan software alat ukur kompetensi berbasis komputer,Badan Kepegawaian Daerah,24585000,027/07/PJP-39.01-2/BKD/XI/2014,Belanja Makanan dan Minuman Kegiatan,Pengadaan Langsung,02.629.508.9-429.000,CV. ARDIS,Jl. Muazd Bin Jabal Griya Cempaka Arum Blok D6-41,103968000,103626000,102600000,CV. ARDIS Jl. Muazd Bin Jabal Griya Cempaka Arum Blok D6-41,02.629.508.9-429.000
Jasa konsultansi pengembangan aplikasi sistem informasi presensi,Badan Kepegawaian Daerah,48455000,027/07/PJP-33.05-3/BKD/X/2014,Belanja Modal Printer Laser Jet & Belanja Modal Printer A3 & Belanja Modal Komputer Notebook,Pengadaan Langsung,31.618.180.9-429.000,CV.PUTRA MARDHIKA,jl.venus barat v no.9,85470000,83930000,81950000,CV.PUTRA MARDHIKA jl.venus barat v no.9,31.618.180.9-429.000
Pengadaan peralatan jaringan komputer & Pengadaan komputer PC & Pengadaan komputer notebook,Badan Kepegawaian Daerah,152713000,027/07/PJP-02.12-4/BKD/XII/2014,Pengadaan Cetakan Undangan,Pengadaan Langsung,31.717.557.8-424.000,CV. DASYA PRATAMA,Jl. Sindang Palay No. 15B Bandung,99927850,99676770,99425700,CV. DASYA PRATAMA Jl. Sindang Palay No. 15B Bandung,31.717.557.8-424.000
Belanja Bahan Bakar Minyak/Gas dan Pelumas,Badan Kesatuan Bangsa dan Pemberdayaan Masyarakat,76360000,027/22-Sekr/PPPBJ-BKBPM/2014,Belanja Jasa Konsultansi Perencanaan,Pengadaan Langsung,31.612.305.8-429.000,PT SENTRA YASA BANDUNG,Jl. Manokwari I No.4 RT.005 RW.010 Antapani Bandung,49837700,49692500,49390000,PT SENTRA YASA BANDUNG Jl. Manokwari I No.4 RT.005 RW.010 Antapani Bandung,31.612.305.8-429.000
Belanja Cetak,Badan Kesatuan Bangsa dan Pemberdayaan Masyarakat,69899500,027/51-Sekr/PPPBJ-BKBPM/2014,Belanja Kursus-Kursus Singkat/Pelatihan,Pengadaan Langsung,31.320.847.2-428.000,CV. GARUDA PERSADA,Jl. Raya Cimindi No.274,130284000,129096000,129096000,CV. GARUDA PERSADA Jl. Raya Cimindi No.274,31.320.847.2-428.000
Belanja Pakaian Kerja Lapangan,Badan Kesatuan Bangsa dan Pemberdayaan Masyarakat,53922000,027/50-KSBG/PPPBJ-BKBPM/2014,Belanja Souvenir,Pengadaan Langsung,31.678.048.5-428.000,CV. DWI NUANSA DINAMIKA,Jl. Geger Kalong Girang No. 44C,54890000,54271250,54147500,CV. DWI NUANSA DINAMIKA Jl. Geger Kalong Girang No. 44C,31.678.048.5-428.000
Belanja Pakaian Adat Daerah,Badan Kesatuan Bangsa dan Pemberdayaan Masyarakat,67115400,027/55-Sekr/PPPBJ-BKBPM/2014,Belanja Cetak Buku Panduan Kerja Disyanjak Kota Bandung (Desain Eklusif),Pengadaan Langsung,31.426.253.6-423.000,CV. KARUNIA MENTARI KARYA MANDIRI,JL. SETIA NO. 44,189750000,184250000,181500000,CV. KARUNIA MENTARI KARYA MANDIRI JL. SETIA NO. 44,31.426.253.6-423.000
Belanja Modal Pengadaan Software Komputer & Belanja Modal Pengadaan Peralatan Jaringan Komputer & Belanja Modal Pengadaan Komputer Mainframe/Server,Badan Kesatuan Bangsa dan Pemberdayaan Masyarakat,176000000,027/67-Sekr/PPPBJ-BKBPM/2014,Belanja Penggandaan Digital,Pengadaan Langsung,31.491.030.8-429.000,CV. WARNA MARIPARI,Jl. AH. Nasution no 304,99825000,99607200,99462000,CV. WARNA MARIPARI Jl. AH. Nasution no 304,31.491.030.8-429.000
Belanja Alat Tulis Kantor,Badan Kesatuan Bangsa dan Pemberdayaan Masyarakat,35470050,027/81-Sekr/PPPBJ-BKBPM/2014,Rehabilitasi/Pemeliharaan Periodik Jl.Mercuri Utara V,Pengadaan Langsung,31.604.229.0-429.000,CV. LEVIANA ABADI,Jl. Bunisari No. 222,132526800,131717200,131253540,CV. LEVIANA ABADI Jl. Bunisari No. 222,31.604.229.0-429.000
Belanja Perjalanan Dinas Luar Daerah,Badan Kesatuan Bangsa dan Pemberdayaan Masyarakat,64304680,027/102-Kesbang/PPPBJ-BKBPM/2014,Jl Babakan Caringin,Pengadaan Langsung,02.736.838.0-445.000,CV. KARYA PUTRA MANDIRI,Komp Sanggar Indah Banjaran B 5 No 11 Nagrag Cangkuang,112691173,112406050,111960800,CV. KARYA PUTRA MANDIRI Komp Sanggar Indah Banjaran B 5 No 11 Nagrag Cangkuang,02.736.838.0-445.000
