kecamatan,kelurahan,Pelindung,Produktif,Ditanam,Hidup,Sumur Resapan,Biopori,Sumber Dana
Astana Anyar,Panjunan,,,,,,,
Astana Anyar,Cibadak,,,,,,,
Astana Anyar,Pelindung Hewan,,,,,,,
Bojongloa Kaler,Kopo,20,10,30,30,0,10,
Bojongloa Kaler,Babakan Tarogong,0,0,0,0,0,0,
Bojongloa Kaler,Jamika,0,0,0,0,0,0,
Bojongloa Kaler,Babakan Asih,0,0,0,0,0,0,
Bojongloa Kaler,Suka Asih,0,0,0,0,0,0,
Bojongloa Kidul,Situsaeur,,,,,,,
Bojongloa Kidul,Kebon Lega,,,,,,,
Bojongloa Kidul,Cibaduyut,,,,,,,
Bojongloa Kidul,Cibaduyut Kidul,,,,,,,
Bojongloa Kidul,Cibuduyut Wetan,,,,,,,
Bojongloa Kidul,Mekar Wangi,,,,,,,
Babakan Ciparay,Babakan,,,,,,,
Babakan Ciparay,Babakan Ciparay,,,,,,,
Babakan Ciparay,Sukahaji,,,,,,,
Babakan Ciparay,Margahayu Utara,,,,,,,
Babakan Ciparay,Margasuka,,,,,,,
Babakan Ciparay,Cirangrang,,,,,,,
Bandung Kulon,Warung Muncang,5,15,20,20,0,0,
Bandung Kulon,Cijerah,3,7,10,10,0,0,
Bandung Kulon,Cibuntu,5,12,17,15,0,0,
Bandung Kulon,Caringin,3,7,10,8,0,0,
Bandung Kulon,Cigondewah Kaler,4,11,15,15,0,0,
Bandung Kulon,Cigondewah Kidul,2,5,7,5,0,0,
Bandung Kulon,Cigondewah Rahayu,6,16,22,22,0,0,
Bandung Kulon,Gempolsari,9,27,36,35,0,0,
Regol,Pasirluyu ,48,0,48,48,,,
Regol,Ciseureuh ,84,0,84,84,,,
Regol,Cigareleng,96,0,96,96,,,
Regol,Ancol ,36,24,60,60,,,
Regol,Pungkur,48,0,48,48,,,
Regol,Ciateul,36,0,36,36,,,
Regol,Balong Gede ,56,0,56,56,,,
Lengkong,Malabar,,,,,,,
Lengkong,Turangga,,,,,,,
Lengkong,Lingkar Selatan,,,,,,,
Lengkong,Cijagra,,,,,,,
Lengkong,Burangrang,,,,,,,
Lengkong,Paledang,,,,,,,
Lengkong,Cikawao,,,,,,,
Batununggal,Kebon Waru,68,151,201,201,2,10,
Batununggal,Kacapiring,12,1,12,11,3,55,
Batununggal,Gumuruh,15,39,14,11,4,95,
Batununggal,Kebon Gedang,4,7,8,7,4,6,
Batununggal,Samoja,0,0,0,0,4,7,
Batununggal,Cibangkong,14,20,13,11,5,54,
Batununggal,Maleer,33,6,40,33,3,8,
Batununggal,Binong,9,1,11,10,4,68,
Ujungberung,Pasir Endah,,,,,,,
Ujungberung,Cigending,,,,,,,
Ujungberung,Pasir Wangi,,,,,,,
Ujungberung,Pasirjati,,,,,,,
Ujungberung,Pasanggrahan,,,,,,,
Kiaracondong,Sukapura,0,0,0,0,0,0,
Kiaracondong,Kebon Jayanti,8,2,10,8,0,0,
Kiaracondong,Babakan Surabaya,30,15,45,43,6,20,P2KB
Kiaracondong,Cicaheum,11,5,16,9,2,0,
Kiaracondong,Babakan Sari,34,12,46,46,0,0,
Kiaracondong,Kebun Kangkung,5,15,20,20,0,0,
Arcamanik,Sukamiskin,0,15,15,15,0,40,apbd
Arcamanik,Cisaranten Bina Harapan,0,15,15,15,0,20,apbd
Arcamanik,Cisaranten Endah,0,10,10,10,0,20,apbd
Arcamanik,Cisaranten Kulon,0,10,10,10,0,20,apbd
Cibiru,Palasari,,,,,,,
Cibiru,Cipadung,,,,,,,
Cibiru,Pasir Biru,,,,,,,
Cibiru,Cisurupan (+lain2),,,,,,,
Antapani,Antapani Kulon,,,,,,,
Antapani,Antapani Wetan,10,0,10,0,0,0,
Antapani,Antapani Tengah,15,0,15,0,0,0,
Antapani,Antapani Kidul,20,0,20,0,0,34,
Rancasari,Cipamokolan,16,0,16,0,0,35,
Rancasari,Derwati,11,20,31,31,11,32,
Rancasari,Manjahlega,8,8,16,16,1,28,
Rancasari,Mekar Jaya,15,15,30,30,5,41,
Buahbatu,Sekejati,15,5,20,20,4,33,
Buahbatu,Margasari,,,,,,,
Buahbatu,Cijaura,,,,,,,
Buahbatu,Jati Sari,,,,,,,
Bandung Kidul,Batununggal,,,,,,,
Bandung Kidul,Kujangsari,18,6,24,24,1,2,
Bandung Kidul,Mengger,17,6,23,23,1,2,
Bandung Kidul,Wates,7,6,13,13,1,1,
Gedebage,Rancabolang,5,6,11,11,1,1,
Gedebage,Cimencrang,,,,,,,
Gedebage,Cisaranten Kidul,,,,,,,
Gedebage,Rancanumpang,,,,,,,
Panyileukan,Cipadung Kidul,,,,,,,
Panyileukan,Mekar Mulya ,158,206,364,327,0,44,
Panyileukan,Cipadung Wetan,0,0,0,0,0,0,
Panyileukan,Cipadung Kulon,4,2,6,4,0,0,
Cinambo,Pakemitan,15,0,15,12,8,0,
Cinambo,Sukamulya,,,,,,,
Cinambo,Cisaranten Wetan,,,,,,,
Cinambo,Babakan Penghulu,,,,,,,
Mandalajati,Jatihandap,,70,70,,,,
Mandalajati,Karang Pamulang,,25,25,,,,
Mandalajati,Pasir Impun,,30,30,,,,
Mandalajati,Sindang Jaya,,20,20,,,,
,,,,,,,,
