KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.37 . 30 . 03 . 5 . 2 . 1,Belanja Pegawai,52975000,
1.20 . 1.20.37 . 30 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,2162255000,
1.20 . 1.20.37 . 30 . 04,Peningkatan Kualitas Penanganan Ketentraman dan Ketertiban Tingkat Kecamatan dan Kelurahan,1082200000,
1.20 . 1.20.37 . 30 . 04 . 5 . 2 . 1,Belanja Pegawai,46300000,
1.20 . 1.20.37 . 30 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,1035900000,
1.20 . 1.20.37 . 30 . 05,Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan,763895000,
1.20 . 1.20.37 . 30 . 05 . 5 . 2 . 1,Belanja Pegawai,652875000,
1.20 . 1.20.37 . 30 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,111020000,
1.20 . 1.20.37 . 30 . 07,Fasilitasi Peningkatan Pelayanan Kepada Masyarakat,207375000,
1.20 . 1.20.37 . 30 . 07 . 5 . 2 . 1,Belanja Pegawai,36575000,
1.20 . 1.20.37 . 30 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,170800000,
,SURPLUS / (DEFISIT),17157325103,
