"KODE 
REKENING,URAIAN,JUMLAH,DASAR HUKUM",DESKRIPSI,JUMLAH,DASAR HUKUM
1.19 . 1.19.02 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,100000000,
1.19 . 1.19.02 . 01 . 13 . 5 . 2 . 1,Belanja Pegawai,2500000,
1.19 . 1.19.02 . 01 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,17500000,
1.19 . 1.19.02 . 01 . 13 . 5 . 2 . 3,Belanja Modal,80000000,
1.19 . 1.19.02 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,35000000,
1.19 . 1.19.02 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,35000000,
1.19 . 1.19.02 . 01 . 17,Penyediaan makanan dan minuman,570000000,
1.19 . 1.19.02 . 01 . 17 . 5 . 2 . 1,Belanja Pegawai,100000000,
1.19 . 1.19.02 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,470000000,
1.19 . 1.19.02 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,471671190,
1.19 . 1.19.02 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,471671190,
1.19 . 1.19.02 . 01 . 19,Penyediaan Jasa Tenaga Pendukung Administrasi Perkantoran/Teknis Perkantoran,979200000,
1.19 . 1.19.02 . 01 . 19 . 5 . 2 . 1,Belanja Pegawai,28950000,
1.19 . 1.19.02 . 01 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,950250000,
1.19 . 1.19.02 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,13174212756,
1.19 . 1.19.02 . 02 . 03,Pembangunan gedung kantor,5256688375,
1.19 . 1.19.02 . 02 . 03 . 5 . 2 . 1,Belanja Pegawai,146688375,
1.19 . 1.19.02 . 02 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,243000000,
1.19 . 1.19.02 . 02 . 03 . 5 . 2 . 3,Belanja Modal,4867000000,
1.19 . 1.19.02 . 02 . 05,pengadaan Kendaraan dinas/operasional,4576814881,
1.19 . 1.19.02 . 02 . 05 . 5 . 2 . 1,Belanja Pegawai,15000000,
1.19 . 1.19.02 . 02 . 05 . 5 . 2 . 3,Belanja Modal,4561814881,
1.19 . 1.19.02 . 02 . 12,Pengadaan Perlengkapan Peralatan Aparatur,340200000,
1.19 . 1.19.02 . 02 . 12 . 5 . 2 . 1,Belanja Pegawai,4700000,
1.19 . 1.19.02 . 02 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,10000000,
1.19 . 1.19.02 . 02 . 12 . 5 . 2 . 3,Belanja Modal,325500000,
1.19 . 1.19.02 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,2775509500,
1.19 . 1.19.02 . 02 . 24 . 5 . 2 . 1,Belanja Pegawai,20000000,
1.19 . 1.19.02 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,2755509500,
1.19 . 1.19.02 . 02 . 30,Pemeliharaan Rutin/Berkala Peralatan Komunikasi,100000000,
1.19 . 1.19.02 . 02 . 30 . 5 . 2 . 1,Belanja Pegawai,1100000,
1.19 . 1.19.02 . 02 . 30 . 5 . 2 . 2,Belanja Barang dan Jasa,48900000,
1.19 . 1.19.02 . 02 . 30 . 5 . 2 . 3,Belanja Modal,50000000,
1.19 . 1.19.02 . 02 . 31,Pemeliharaan Rutin/Berkala Website,25000000,
1.19 . 1.19.02 . 02 . 31 . 5 . 2 . 2,Belanja Barang dan Jasa,25000000,
1.19 . 1.19.02 . 02 . 52,Dekorasi Ruang Kantor,100000000,
1.19 . 1.19.02 . 02 . 52 . 5 . 2 . 1,Belanja Pegawai,3600000,
1.19 . 1.19.02 . 02 . 52 . 5 . 2 . 2,Belanja Barang dan Jasa,96400000,
1.19 . 1.19.02 . 03,Program peningkatan disiplin aparatur,2147500000,
1.19 . 1.19.02 . 03 . 02,Pengadaan pakaian dinas beserta perlengkapannya,675000000,
1.19 . 1.19.02 . 03 . 02 . 5 . 2 . 1,Belanja Pegawai,10000000,
1.19 . 1.19.02 . 03 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,665000000,
1.19 . 1.19.02 . 03 . 03,Pengadaan pakaian kerja lapangan,900000000,
1.19 . 1.19.02 . 03 . 03 . 5 . 2 . 1,Belanja Pegawai,10000000,
1.19 . 1.19.02 . 03 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,890000000,
1.19 . 1.19.02 . 03 . 05,Pengadaan pakaian khusus hari-hari tertentu,572500000,
1.19 . 1.19.02 . 03 . 05 . 5 . 2 . 1,Belanja Pegawai,10000000,
1.19 . 1.19.02 . 03 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,562500000,
1.19 . 1.19.02 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,1627630039,
1.19 . 1.19.02 . 05 . 01,Pendidikan dan pelatihan formal,280000000,
1.19 . 1.19.02 . 05 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,280000000,
1.19 . 1.19.02 . 05 . 02,Sosialisasi peraturan perundang-undangan,390750000,
1.19 . 1.19.02 . 05 . 02 . 5 . 2 . 1,Belanja Pegawai,100000000,
1.19 . 1.19.02 . 05 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,290750000,
1.19 . 1.19.02 . 05 . 03,Bimbingan teknis implementasi peraturan perundang-undangan,310750000,
1.19 . 1.19.02 . 05 . 03 . 5 . 2 . 1,Belanja Pegawai,80250000,
1.19 . 1.19.02 . 05 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,230500000,
1.19 . 1.19.02 . 05 . 04,Pembinaan Kinerja Aparatur,646130039,
1.19 . 1.19.02 . 05 . 04 . 5 . 2 . 1,Belanja Pegawai,153600000,
1.19 . 1.19.02 . 05 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,492530039,
1.19 . 1.19.02 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,172300000,
1.19 . 1.19.02 . 06 . 01,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,75000000,
1.19 . 1.19.02 . 06 . 01 . 5 . 2 . 1,Belanja Pegawai,46500000,
1.19 . 1.19.02 . 06 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,28500000,
1.19 . 1.19.02 . 06 . 02,Penyusunan pelaporan keuangan semesteran,50000000,
1.19 . 1.19.02 . 06 . 02 . 5 . 2 . 1,Belanja Pegawai,25000000,
1.19 . 1.19.02 . 06 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,25000000,
1.19 . 1.19.02 . 06 . 04,penyusunan pelaporan keuangan akhir tahun,47300000,
1.19 . 1.19.02 . 06 . 04 . 5 . 2 . 1,Belanja Pegawai,34000000,
1.19 . 1.19.02 . 06 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,13300000,
1.19 . 1.19.02 . 15,Program peningkatan keamanan dan kenyamanan lingkungan,9008614293,
1.19 . 1.19.02 . 15 . 01,Penyiapan tenaga pengendali kemanan dan kenyamanan lingkungan,7259257793,
1.19 . 1.19.02 . 15 . 01 . 5 . 2 . 1,Belanja Pegawai,472000000,
1.19 . 1.19.02 . 15 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,6787257793,
1.19 . 1.19.02 . 15 . 02,Pembangunan pos jaga/ronda,349299000,
1.19 . 1.19.02 . 15 . 02 . 5 . 2 . 1,Belanja Pegawai,137400000,
1.19 . 1.19.02 . 15 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,211899000,
1.19 . 1.19.02 . 15 . 03,Pelatihan pengendalian keamanan dan kenyamanan lingkungan,902757500,
1.19 . 1.19.02 . 15 . 03 . 5 . 2 . 1,Belanja Pegawai,119700000,
1.19 . 1.19.02 . 15 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,783057500,
1.19 . 1.19.02 . 15 . 06,Monitoring Evaluasi dan pelaporan,497300000,
1.19 . 1.19.02 . 15 . 06 . 5 . 2 . 1,Belanja Pegawai,452800000,
1.19 . 1.19.02 . 15 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,44500000,
1.19 . 1.19.02 . 16,Program pemeliharaan kantrantibmas dan pencegahan tindak kriminal,1385572570,
1.19 . 1.19.02 . 16 . 01,Pengawasan pengendalian dan evaluasi kegiatan polisi pamong praja,165200000,
1.19 . 1.19.02 . 16 . 01 . 5 . 2 . 1,Belanja Pegawai,139200000,
1.19 . 1.19.02 . 16 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,26000000,
1.19 . 1.19.02 . 16 . 03,Kerjasama pengembangan kemampuan aparat polisi pamong praja dengan TNI/POLRI dan kejaksaan,736432570,
1.19 . 1.19.02 . 16 . 03 . 5 . 2 . 1,Belanja Pegawai,205200000,
1.19 . 1.19.02 . 16 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,531232570,
1.19 . 1.19.02 . 16 . 05,Monitoring Evaluasi dan pelaporan,483940000,
1.19 . 1.19.02 . 16 . 05 . 5 . 2 . 1,Belanja Pegawai,262040000,
1.19 . 1.19.02 . 16 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,221900000,
1.19 . 1.19.02 . 20,Program peningkatan pemberantasan penyakit masyarakat (pekat),770191284,
1.19 . 1.19.02 . 20 . 01,Penyuluhan pencegahan peredaran/penggunaan minuman keras dan narkoba,330191284,
1.19 . 1.19.02 . 20 . 01 . 5 . 2 . 1,Belanja Pegawai,102650000,
1.19 . 1.19.02 . 20 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,227541284,
1.19 . 1.19.02 . 20 . 02,Penyuluhan pencegahan berkembangnya praktek prostitusi,220000000,
1.19 . 1.19.02 . 20 . 02 . 5 . 2 . 1,Belanja Pegawai,52650000,
1.19 . 1.19.02 . 20 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,167350000,
1.19 . 1.19.02 . 20 . 06,Penyuluhan pencegahan praktek penjudian,220000000,
1.19 . 1.19.02 . 20 . 06 . 5 . 2 . 1,Belanja Pegawai,52650000,
1.19 . 1.19.02 . 20 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,167350000,
1.06 . 1.19.02 . 21,Program perencanaan pembangunan daerah,116600000,
1.06 . 1.19.02 . 21 . 16,Penyusunan Renstra dan Renja SKPD,116600000,
1.06 . 1.19.02 . 21 . 16 . 5 . 2 . 1,Belanja Pegawai,76000000,
1.06 . 1.19.02 . 21 . 16 . 5 . 2 . 2,Belanja Barang dan Jasa,40600000,
1.19 . 1.19.02 . 23,Program Penegakan Ketentraman dan Ketertiban Umum,2270657250,
1.19 . 1.19.02 . 23 . 01,Pemeliharaan Ketentraman dan Ketertiban Umum,1889180000,
1.19 . 1.19.02 . 23 . 01 . 5 . 2 . 1,Belanja Pegawai,1564640000,
1.19 . 1.19.02 . 23 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,324540000,
1.19 . 1.19.02 . 23 . 02,Peningkatan Partisipasi Masyarakat,381477250,
1.19 . 1.19.02 . 23 . 02 . 5 . 2 . 1,Belanja Pegawai,155600000,
1.19 . 1.19.02 . 23 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,225877250,
1.19 . 1.19.02 . 24,Program Penegakan Peraturan Daerah dan Peraturan Walikota,15374587818,
1.19 . 1.19.02 . 24 . 01,Sosialisasi/Penyuluhan Peraturan Daerah dan Peraturan Walikota Keterntaman Ketertiban,292050000,
1.19 . 1.19.02 . 24 . 01 . 5 . 2 . 1,Belanja Pegawai,105300000,
1.19 . 1.19.02 . 24 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,186750000,
1.19 . 1.19.02 . 24 . 02,Operasi Penertiban Peraturan Daerah dan Peraturan Walikota,12299640000,
1.19 . 1.19.02 . 24 . 02 . 5 . 2 . 1,Belanja Pegawai,9641400000,
1.19 . 1.19.02 . 24 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,2658240000,
1.19 . 1.19.02 . 24 . 03,Pelaksanaan Yustisi Penegakan Peraturan Daerah dan Peraturan Walikota,425000000,
1.19 . 1.19.02 . 24 . 03 . 5 . 2 . 1,Belanja Pegawai,276500000,
1.19 . 1.19.02 . 24 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,148500000,
1.19 . 1.19.02 . 24 . 06,Penertiban Reklame Ilegal,2357897818,
1.19 . 1.19.02 . 24 . 06 . 5 . 2 . 1,Belanja Pegawai,1875647818,
1.19 . 1.19.02 . 24 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,482250000,
1.19 . 1.19.02 . 27,Program Penyelidikan dan Penyidikan Pelanggaran Perda dan Perwal,2474728677,
1.19 . 1.19.02 . 27 . 01,Pemeriksaan Pelanggaran Perda Perwal,766678677,
1.19 . 1.19.02 . 27 . 01 . 5 . 2 . 1,Belanja Pegawai,599678677,
1.19 . 1.19.02 . 27 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,167000000,
1.19 . 1.19.02 . 27 . 02,Penegakan Produk Hukum Daerah,1708050000,
1.19 . 1.19.02 . 27 . 02 . 5 . 2 . 1,Belanja Pegawai,610000000,
1.19 . 1.19.02 . 27 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,1098050000,
,SURPLUS / (DEFISIT),84197338051,
