Kecamatan,Kelurahan,Jumlah Pekerja Laki-laki,Jumlah Pekerja Perempuan,Jumlah Peserta BPJS
Cibeunying Kaler,Neglasari,1.333,270.0,1.438
Cibeunying Kidul,Sukapada,574.0,168.0,75.0
Cibeunying Kidul,Padasuka,249.0,148.0,140.0
Cibeunying Kidul,Pasirlayung,735.0,412.0,895.0
Cibeunying Kidul,Cicadas,1.838,233.0,1.914
Cibeunying Kidul,Sukamaju,63.0,46.0,109.0
Cibeunying Kidul,Cikutra,1.349,1.119,727.0
Ujungberung,Pasir Biru,2.0,2.0,0.0
Ujungberung,Cipadung,205.0,145.0,235.0
Ujungberung,Cisurupan,17.0,12.0,15.0
Ujungberung,Palasari,151.0,81.0,214.0
Cicendo,Sukaraja,677.0,153.0,693.0
Cicendo,Pajajaran,832.0,899.0,1.388
Cicendo,Pamoyanan,140.0,124.0,146.0
Cicendo,Arjuna,1.323,170.0,1.392
Cicendo,Pasirkaliki,2.254,940.0,2.405
Cicendo,Husen Sastranegara,4.567,797.0,4.905
Cidadap,Ledeng,299.0,112.0,388.0
Cidadap,Ciumbuleuit,894.0,460.0,846.0
Cidadap,Hegarmanah,1.229,554.0,1.2
Ujungberung,Pakemitan,1.009,221.0,847.0
Ujungberung,Sukamulya,0.0,0.0,0.0
Ujungberung,Babakan Penghulu,1.066,268.0,454.0
Ujungberung,Cisaranten Wetan,879.0,856.0,972.0
Coblong,Sekeloa,26.0,24.0,10.0
Coblong,Lebak Siliwangi,950.0,202.0,3.24
Coblong,Lebakgede,1.784,1.545,844.0
Coblong,Cipaganti,1.039,570.0,1.395
Coblong,Sadangserang,25.035,6.62,29.563
Coblong,Dago,851.0,595.0,885.0
Gedebage,Rancabolang,962.0,1.634,1.881
Gedebage,Rancanumpang,99.0,41.0,139.0
Gedebage,Cimincrang,330.0,133.0,328.0
Gedebage,Cisaranten Kidul,266.0,39.0,40.0
Kiaracondong,Kebon Kangkung,83.0,58.0,80.0
Kiaracondong,Babakan Surabaya,212.0,155.0,281.0
Kiaracondong,Sukapura,2.526,5.312,7.626
Kiaracondong,Cicaheum,930.0,617.0,1.382
Kiaracondong,Kebon Jayanti,24.0,31.0,29.0
Kiaracondong,Babakan Sari,135.0,124.0,223.0
Lengkong,Paledang,373.0,114.0,210.0
Lengkong,Cikawao,184.0,60.0,191.0
Lengkong,Turangga,991.0,1.099,1.171
Lengkong,Lingkar Selatan,1.289,300.0,1.283
Lengkong,Burangrang,869.0,364.0,922.0
Lengkong,Malabar,817.0,238.0,1.821
Lengkong,Cijagra,3.252,772.0,3.719
Mandalajati,Karang Pamulang,2.302,1.019,3.223
Mandalajati,Pasir Impun,32.0,65.0,49.0
Mandalajati,Mandalajati,28.0,28.0,51.0
Mandalajati,Jatihandap,131.0,15.0,147.0
Panyileukan,Mekarmulya,1.278,1.707,2.267
Panyileukan,Cipadung Kidul,221.0,56.0,97.0
Panyileukan,Cipadung Kulon,125.0,224.0,283.0
Panyileukan,Cipadung Wetan,8.0,3.0,124.0
Rancasari,Mekarjaya,208.0,37.0,245.0
Rancasari,Cipamokolan,1.082,311.0,1.091
Rancasari,Derwati,335.0,77.0,253.0
Rancasari,Manjahlega,642.0,726.0,436.0
Regol,Pasirluyu,191.0,59.0,190.0
Regol,Ciateul,1.643,268.0,2.674
Regol,Pungkur,289.0,119.0,226.0
Regol,Cigereleng,2.237,351.0,2.267
Regol,Ancol,1.023,275.0,688.0
Regol,Ciseureuh,1.73,443.0,1.011
Regol,Balonggede,989.0,695.0,1.267
Sukajadi,Sukawarna,701.0,302.0,744.0
Sukajadi,Pasteur,2.426,916.0,2.379
Sukajadi,Sukabungah,225.0,195.0,289.0
Sukajadi,Sukagalih,1.209,846.0,1.603
Sukajadi,Cipedes,386.0,145.0,260.0
Sukasari,Sukarasa,4.769,309.0,832.0
Sukasari,Gegerkalong,614.0,353.0,454.0
Sukasari,Isola,27.304,1.395,548.0
Sukasari,Sarijadi,310.0,121.0,79.0
Sumur Bandung,Kebon Pisang,1.369,2.109,2.73
Sumur Bandung,Merdeka,1.715,608.0,1.723
Sumur Bandung,Babakan Ciamis,10.293,3.681,59.197
Sumur Bandung,Braga,4.08,1.625,2.879
Cinambo,Pasir Wangi,2.0,1.0,0.0
Cinambo,Pasanggrahan,42.0,32.0,74.0
Cinambo,Ujungberung,2.342,1.869,3.556
Cinambo,Pasir Endah,22.0,6.0,28.0
Cinambo,Pasir Jati,53.0,67.0,120.0
Cinambo,Cigending,1.0,3.0,4.0
