id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan,,,
3612711,Belanja Peralatan Kebersihan dan Bahan Pembersih,35000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pengadaan Sarana Panti Persinggahan,Barang/jasa,Barang,1 Paket,Dinas Sosial,Belanja Peralatan Kebersihan dan Bahan Pembersih Penunjang Kegiatan Pengadaan Sarana Panti Persinggahan,APBD,35000000,1.13.1.13.01.19.07.5.2.2.02.04,Pengadaan Langsung,01/02/2015,28/02/2015,01/03/2015,31/03/2015,,,
3632747,"Belanja cetak juknis, buku pedoman, buku formulir, dokumentasi, piagam dan piala penghargaan",34875000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pendataan dan penilaian pelaksanaan program kepedulian sosial (csr),Barang/jasa,Barang,1 paket,Dinas Sosial,"Belanja cetak juknis, buku pedoman, buku formulir, dokumentasi, piagam dan piala penghargaan penunjang kegiatan Pendataan dan penilaian pelaksanaan program kepedulian sosial (csr)",APBD,34875000,1.13.1.13.01.21.07.5.2.2.06.01,Pengadaan Langsung,01/07/2015,31/07/2015,01/09/2015,30/09/2015,,,
3631981,Belanja ATK kEGIATAN Pendidikan dan Pelatihan Keterampilan Berusaha Eks Penyandang Penyakit Sosial,32000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pendidikan dan Pelatihan Keterampilan Berusaha Eks Penyandang Penyakit Sosial,Barang/jasa,Barang,1 Paket,Kota Bandung,Belanja ATK kEGIATAN Pendidikan dan Pelatihan Keterampilan Berusaha Eks Penyandang Penyakit Sosial,APBD,32000000,1.13.01.20.01.5.2.2.01.01,Pengadaan Langsung,12/02/2015,27/02/2015,03/08/2015,31/08/2015,,,
3633561,Penyelenggaraan Acara Hari Pahlawan,150000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pelatihan keterampilan bagi penyandang masalah kesejahteraan sosial,Barang/jasa,Jasa Lainnya,1 Paket,Dinas Sosial,"Penye,nggaraan Acara Hari Pahlawan Penunjang Kegiatan Pelatihan keterampilan bagi penyandang masalah kesejahteraan sosial",APBD,150000000,1.13.1.13.01.15.05.5.2.2.03.21,Pengadaan Langsung,01/10/2015,31/10/2015,01/11/2015,31/12/2016,,,
3575797,"Belanja modal perangkat lunak/aplikasi Bansos, Pendaftaran Yayasan online dan Bencana",150000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pengadaan perlengkapan peralatan aparatur,Modal,Jasa Lainnya,3 paket,Dinas Sosial,"Belanja modal perangkat lunak/aplikasi Bansos, Pendaftaran Yayasan online dan Bencana penunjang kegiatan Pengadaan perlengkapan peralatan aparatur",APBD,150000000,1.13.1.13.01.02.12.5.2.3.27.05,Pengadaan Langsung,01/02/2015,31/03/2015,31/03/2015,30/04/2015,,,
3612790,Belanja Cleaning Service dan Seragam Clening Service,196800000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pengadaan Sarana Panti Persinggahan,Barang/jasa,Jasa Lainnya,96 orang + 16 stel,Dinas Sosial,Belanja Jasa Cleaning Service dan Seragam Penunjang Kegiatan Pengadaan Sarana Panti Persinggahan,APBD,196800000,1.13.1.13.01.19.07.5.2.2.03.15,Pengadaan Langsung,01/02/2015,28/02/2015,01/03/2015,31/03/2015,,,
3611256,Belanja ATK Kegiatan Penyusunan Kebijakan Pelayanan dan Rehabilitasi Sosial bagi PMKS,27847000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Kegiatan Penyusunan Kebijakan Pelayanan dan Rehabilitasi Sosial bagi PMKS,Barang/jasa,Barang,1 Paket,Kota Bandung,Belanja ATK Kegiatan Penyusunan Kebijakan Pelayanan dan Rehabilitasi Sosial bagi PMKS,APBD,27847000,1.13.01.16.08.5.2.2.01.01,Pengadaan Langsung,01/04/2015,30/04/2015,01/06/2015,30/06/2015,,,
3612806,Belanja Jasa Tenaga Keamanan dan Seragam Satpam,196800000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pengadaan Sarana Panti Persinggahan,Barang/jasa,Jasa Lainnya,96 orang + 16 stel,Dinas Sosial,Belanja Jasa Tenaga Keamanan dan Seragam Satpam Penunjang Kegiatan Pengadaan Sarana Panti Persinggahan,APBD,196800000,1.13.1.13.01.19.07.5.2.2.03.17,Pengadaan Langsung,01/02/2015,28/02/2015,01/03/2015,31/03/2015,,,
3627032,Belanja pakaian olahraga dan kelengkapannya,13125000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pemberdayaan eks penyandang penyakit sosial,Barang/jasa,Barang,1 paket,Dinas Sosial,Belanja pakaian olahraga dan kelengkapannya penunjang kegiatan Pemberdayaan eks penyandang penyakit sosial,APBD,13125000,1.13.1.13.01.18.20.04.5.2.2.14.04,Pengadaan Langsung,01/01/2015,31/01/2015,01/03/2015,31/03/2015,,,
3612025,Belanja Bahan Percontohan Kegiatan Pendidikan dan Pelatihan bagi Penghuni Panti Asuhan/Jompo,30000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Belanja Kegiatan Pendidikan dan Pelatihan bagi Penghuni Panti Asuhan/Jompo,Barang/jasa,Barang,1 Paket,Kota Bandung,Belanja Bahan Percontohan Kegiatan Pendidikan dan Pelatihan bagi Penghuni Panti Asuhan/Jompo,APBD,30000000,1.13.01.19.04.5.2.2.02.07,Pengadaan Langsung,01/07/2015,31/07/2015,03/08/2015,31/08/2015,,,
3550609,Belanja cetak,42000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Penyediaan barang cetakan dan penggandaan,Barang/jasa,Barang,1 paket,Dinas sosial,Belanja cetak penunjang kegiatan Penyediaan barang cetakan dan penggandaan,APBD,42000000,1.13.1.13.01.01.11.5.2.2.06.01,Pengadaan Langsung,01/02/2015,31/03/2015,31/03/2015,30/04/2015,,,
3632125,Belanja Belanja Pkaian Kerja Lapangan Kegiatan Pemantauan Kemajuan Perubahan Sikap Mental eks Penyandang Penyakit Sosial,69000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Kegiatan Pemantauan Kemajuan Perubahan Sikap Mental eks Penyandang Penyakit Sosial,Barang/jasa,Barang,1 Paket,Kota Bandung,Kegiatan Pemantauan Kemajuan Perubahan Sikap Mental eks Penyandang Penyakit Sosial,APBD,69000000,1.13.01.20.03.5.2.2.13.01,Pengadaan Langsung,11/02/2015,27/02/2015,01/04/2015,30/04/2015,,,
3582520,Belanja pakaian olahraga,37500000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pengadaan pakaian khusus hari-hari tertentu,Barang/jasa,Barang,50 stel,Dinas Sosial ,Belanja pakaian olahraga penunjang kegiatan Pengadaan pakaian khusus hari-hari tertentu,APBD,37500000,1.13.1.13.01.03.05.5.2.2.14.04,Pengadaan Langsung,01/02/2015,31/03/2015,31/03/2015,30/04/2015,,,
3612851,Belanja bahan percontohan (sample),47500000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pendidikan dan pelatihan bagi penyandang cacat dan eks trauma,Barang/jasa,Barang,1 paket,Dinas Sosial,Belanja bahan percontohan (sample)penunjang kegiatan Pendidikan dan pelatihan bagi penyandang cacat dan eks trauma,APBD,47500000,1.13.1.13.01.18.03.5.2.2.02.07,Pengadaan Langsung,01/02/2015,28/02/2015,01/03/2015,31/03/2015,,,
3611216,Belanja Makan dan Minum Kegiatan elaksanaan KIE Konseling dan Kampanye Sosial bagi PMKS,35000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pelaksanaan KIE Konseling dan Kampanye Sosial bagi PMKS,Barang/jasa,Jasa Lainnya,1 Paket,Kota Bandung,Belanja Makan dan Minum Kegiatan elaksanaan KIE Konseling dan Kampanye Sosial bagi PMKS,APBD,35000000,1.13.01.16.03.5.2.2.11.05,Pengadaan Langsung,02/02/2015,27/02/2015,02/03/2015,31/03/2015,,,
3552299,Belanja peralatan dapur (peralatan dapur umum),100000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Penyediaan peralatan dan perlengkapan kantor,Modal,Barang,1 paket,Dinas Sosial,Belanja peralatan dapur (peralatan dapur umum) penunjang kegiatan Penyediaan peralatan dan perlengkapan kantor,APBD,100000000,1.13.1.13.01.01.13.5.2.3.28.05,Pengadaan Langsung,01/02/2015,31/03/2015,31/03/2015,30/04/2015,,,
3611289,Belanja Jasa Konsultasi Kegiatan Penyusunan Kebijakan Pelayanan dan Rehabilitasi Sosial bagi PMKS,45000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Kegiatan Penyusunan Kebijakan Pelayanan dan Rehabilitasi Sosial bagi PMKS,Barang/jasa,Jasa Konsultansi,1 Paket,Kota Bandung,Belanja Jasa Konsultasi Kegiatan Penyusunan Kebijakan Pelayanan dan Rehabilitasi Sosial bagi PMKS,APBD,45000000,1.13.01.16.08.5.2.2.21.01,Pengadaan Langsung,01/04/2015,30/04/2015,01/06/2015,30/06/2015,,,
3633457,Belanja Alat Tulis kantor Tas Peserta,20000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pelatihan keterampilan bagi penyandang masalah kesejahteraan sosial,Barang/jasa,Barang,200 buah,Dinas Sosial,Belanjan alat Tulis Kantor berupa Tas Peserta Penunjang Kegiatan Pelatihan keterampilan bagi penyandang masalah kesejahteraan sosial,APBD,20000000,1.13.1.13.01.15.05.5.2.2.01.01,Pengadaan Langsung,01/04/2015,30/04/2015,01/05/2015,30/06/2015,,,
3611414,Belanja Jasa Konsultan Pengawasan Kegiatan Pembangunan Pusat Bimbingan Konseling bagi Eks Penyandang Penyakit Sosial,800000000,Seleksi Umum,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Kegiatan Pembangunan Pusat Bimbingan Konseling bagi Eks Penyandang Penyakit Sosial,Barang/jasa,Jasa Konsultansi,1 Paket,Kota Bandung,Belanja Jasa Konsultan Pengawasan Kegiatan Pembangunan Pusat Bimbingan Konseling bagi Eks Penyandang Penyakit Sosial,APBD,800000000,1.13.01.20.02.5.2.2.21.03,Seleksi Umum,02/02/2015,27/02/2015,02/03/2015,31/03/2015,,,
3613012,Belanja Makan dn Minum Kegiatan Peningkiatan Kualitas SDM Kesos Masyarakat,20800000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Peningkiatan Kualitas SDM Kesos Masyarakat,Barang/jasa,Barang,1 Paket,Kota Bandung,Belanja Makan dn Minum Kegiatan Peningkiatan Kualitas SDM Kesos Masyarakat,APBD,20800000,1.1301.21.03.5.2.2.11.05,Pengadaan Langsung,01/04/2015,30/04/2015,04/05/2015,29/05/2015,,,
3633523,Makanan Pokok,60745000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pelatihan keterampilan bagi penyandang masalah kesejahteraan sosial,Barang/jasa,Jasa Lainnya,1 Paket,Dinas Sosial,Belanja Makanan Pokok Penunjang Kegiatan Pelatihan keterampilan bagi penyandang masalah kesejahteraan sosial,APBD,60745000,1.13.1.13.01.15.05.5.2.2.02.06,Pengadaan Langsung,01/04/2015,30/04/2015,01/05/2015,30/06/2015,,,
3625087,Belanja makan dan minum peserta dan panitia,39600000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Peningkatan keterampilan tenaga pelatih dan pendidik,Barang/jasa,Barang,594 orang/kegiatan,Dinas Sosial,Belanja makan dan minum peserta dan panitia penunjang kegiatan Peningkatan keterampilan tenaga pelatih dan pendidik,APBD,39600000,1.13.1.13.01.18.05.5.2.2.11.05,Pengadaan Langsung,01/04/2015,30/04/2015,01/06/2015,30/06/2015,,,
3579574,Belanja pakaian LINMAS,38974000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pengadaan pakaian dinas beserta perlengkapannya,Barang/jasa,Barang,50 stel,Dinas Sosial,Belanja pakaian LINMAS penunjang kegiatan Pengadaan pakaian dinas beserta perlengkapannya,APBD,38974000,1.13.1.13.01.03.02.5.2.2.12.07,Pengadaan Langsung,01/02/2015,31/03/2015,31/03/2015,30/04/2015,,,
3611898,JAsa Penyelenggaraan Acara Tenaga Pembina ANTAR/ANJAL,190000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Peningkatan Keterampilan Tenaga Pembinaan Anak Terlantar,Barang/jasa,Jasa Lainnya,1 Paket,Dinas Sosial,Belanja Jasa Penyelenggaraan Acara Tenaga Pembina ANTAR /ANJAL Penunjang Kegiatan Peningkatan Keterampilan Tenaga Pembinaan Anak Terlantar,APBD,190000000,1.13.1.13.01.17.05.5.2.2.03.21,Pengadaan Langsung,01/07/2015,31/07/2015,01/08/2015,30/09/2015,,,
3579240,Belanja pemeliharaan gedung dan bangunan,200000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pemeliharaan rutin/berkala gedung kantor,Barang/jasa,Barang,1 paket ,Dinas Sosial,Belanja pemeliharaan gedung dan bangunan penunjang kegiatan Pemeliharaan rutin/berkala gedung kantor,APBD,200000000,1.13.1.13.01.02.22.5.2.2.20.05,Pengadaan Langsung,01/02/2015,31/03/2015,31/03/2015,30/04/2015,,,
3612443,Alat Tulis Kantor untuk Kesekretariatan RPA,198400000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Peningkatan Kualitas Pelayanan Sarana dan Prasarana Pelayanan Sosial Anak,Barang/jasa,Barang,16 Paket,Dinas Sosial,Alat Tulis Kantor untuk Keskretariatan RPA Penunjang Kegiatan Peningkatan Kualitas Pelayanan Sarana dan Prasarana Pelayanan Sosial Anak,APBD,198400000,1.13.1.13.01.17.10.5.2.2.01.01,Pengadaan Langsung,01/04/2015,30/04/2015,01/05/2015,30/06/2015,,,
3612888,Makanan Minuman Kegiatan,403990000,Lelang Umum,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pengadaan Sarana Panti Persinggahan,Barang/jasa,Jasa Lainnya,1 Tahun,Dinas Sosial,Makanan dan Minuman Penunjang Kegiatan Pengadaan Sarana Panti Persinggahan,APBD,403990000,1.13.1.13.01.19.07.5.2.2.11.05,Lelang Umum,01/03/2015,31/03/2015,01/04/2015,30/06/2015,,,
3578913,Belanja jasa konsultasi perencanaan ,21460000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pemeliharaan rutin/berkala gedung kantor,Barang/jasa,Jasa Konsultansi,1 paket,Dinas Sosial,Belanja jasa konsultasi perencanaan penunjang kegiatan Pemeliharaan rutin/berkala gedung kantor,APBD,21460000,1.13.1.13.01.02.22.5.2.2.21.02,Pengadaan Langsung,01/02/2015,31/03/2015,31/03/2015,30/04/2015,,,
3611328,Belanja Cetak Kegiatan Kajian Inventarisasi dan Indentifikasi PMKS Kota Bandung,16650000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Kegiatan Kajian Inventarisasi dan Indentifikasi PMKS Kota Bandung,Barang/jasa,Barang,1 Paket,Kota Bandung,Belanja Cetak Kegiatan Kajian Inventarisasi dan Indentifikasi PMKS Kota Bandung,APBD,16650000,1.13.01.16.12.5.2.2.06.01,Pengadaan Langsung,01/04/2015,30/04/2015,01/06/2015,30/06/2015,,,
3633340,Belanja bahan makanan pokok pendukung usaha bagi keluarga miskin,221062500,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pengadaan sarana dan prasarana pendukung usaha bagi keluarga miskin,Barang/jasa,Barang,10 paket,Dinas Sosial,Belanja bahan makanan pokok pendukung usaha bagi keluarga miskin penunjang kegiatan Pengadaan sarana dan prasarana pendukung usaha bagi keluarga miskin,APBD,221062500,1.13.1.13.01.15.04.5.2.2.06.01,Pengadaan Langsung,01/02/2015,28/02/2015,01/03/2015,30/06/2015,,,
3632077,Belanja Belanja Pakaian Olah Raga Kegiatan Pendidikan dan Pelatihan Keterampilan Berusaha Eks Penyandang Penyakit Sosial,48750000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Kegiatan Pendidikan dan Pelatihan Keterampilan Berusaha Eks Penyandang Penyakit Sosial,Barang/jasa,Barang,1 Paket,Kota Bandung,Belanja Belanja Pakaian Olah Raga Kegiatan Pendidikan dan Pelatihan Keterampilan Berusaha Eks Penyandang Penyakit Sosial,APBD,48750000,1.13.01.20.01.5.2.2.14.04,Pengadaan Langsung,11/02/2015,27/02/2015,01/04/2015,30/04/2015,,,
3613031,Belanja Pakaian Lapangan Kegiatan Peningkiatan Kualitas SDM Kesos Masyarakat,124025000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Kegiatan Peningkiatan Kualitas SDM Kesos Masyarakat,Barang/jasa,Barang,1 Paket,Kota Bandung,Belanja Pakaian Lapangan Kegiatan Peningkiatan Kualitas SDM Kesos Masyarakat,APBD,124025000,1.13.01.21.03.5.2.2.13.01,Pengadaan Langsung,01/04/2015,30/04/2015,01/05/2015,29/05/2015,,,
3633960,Belanja makan dan minum kegiatan,30000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Peningkatan peran aktif masyarakat dan dunia usaha,Barang/jasa,Barang,1 paket,Dinas Sosial,Belanja makan dan minum kegiatan penunjang kegiatan Peningkatan peran aktif masyarakat dan dunia usaha,APBD,30000000,1.13.1.13.01.21.01.5.2.2.11.05,Pengadaan Langsung,01/04/2015,30/04/2015,01/06/2015,30/06/2015,,,
4144106,Belanja Modal Bangunan Gedung Kantor Kegiatan Pembangunan Pusat Bimbingan Konseling bagi Eks Penyandang Penyakit Sosial dan Pembangunan Pusat Pelayanan Kesejahteraan Sosial (PUSKESOS) Banprop,36418880000,Lelang Umum,"APBDP,APBD",Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Kegiatan Pembangunan Pusat Bimbingan Konseling bagi Eks Penyandang Penyakit Sosial dan Pembangunan Pusat Pelayanan Kesejahteraan Sosial (PUSKESOS) Banprop,Modal,Pekerjaan Konstruksi,1 Paket,Kota Bandung,Belanja Modal Bangunan Gedung Kantor Kegiatan Pembangunan Pusat Bimbingan Konseling bagi Eks Penyandang Penyakit Sosial dan Pembangunan Pusat Pelayanan Kesejahteraan Sosial (PUSKESOS) Banprop,APBDP,27866090000,1.13.01.20.02.5.2.2.21.03,,,,,,,,
,,,,,,,,,,,,,,APBD,8552790000,1.13.01.20.02.5.2.2.21.03,Lelang Umum,02/02/2015,27/02/2015,01/06/2015,01/12/2015,Belanja Modal Bangunan Gedung Kantor Kegiatan Pembangunan Pusat Bimbingan Konseling bagi Eks Penyandang Penyakit Sosial (3611429) ,,
3612009,Belanja ATK Kegiatan Pendidikan dan Pelatihan bagi Penghuni Panti Asuhan/Jompo,25000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Kegiatan Pendidikan dan Pelatihan bagi Penghuni Panti Asuhan/Jompo,Barang/jasa,Barang,1 Paket,Kota Bandung,Belanja ATK Kegiatan Pendidikan dan Pelatihan bagi Penghuni Panti Asuhan/Jompo,APBD,25000000,1.13.01.19.03.5.2.2.01.01,Pengadaan Langsung,01/07/2015,31/07/2015,03/08/2015,31/08/2015,,,
3612039,Belanja Jasa Penyelenggaraan Acara Kegiatan Pendidikan dan Pelatihan bagi Penghuni Panti Asuhan/Jompo,180000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Belanja BKegiatan Pendidikan dan Pelatihan bagi Penghuni Panti Asuhan/Jompo,Barang/jasa,Jasa Lainnya,1 Paket,Kota Bandung,Belanja Jasa Penyelenggaraan Acara Kegiatan Pendidikan dan Pelatihan bagi Penghuni Panti Asuhan/Jompo,APBD,180000000,1.13.01.19.04.5.2.2.03.21,Pengadaan Langsung,01/07/2015,31/07/2015,03/08/2015,31/08/2015,,,
3611150,Belanja ATK Pelaksanaan KIE Konseling dan Kampanye Sosial bagi PMKS,67085000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,DINAS SOSIAL,2015,Pelaksanaan KIE Konseling dan Kampanye Sosial bagi PMKS,Barang/jasa,Barang,1 Paket,Kota Bandung,Belanja ATK Pelaksanaan KIE Konseling dan Kampanye Sosial bagi PMKS,APBD,67085000,1.13.01.16.03.5.2.2.01.01,Pengadaan Langsung,02/02/2015,27/02/2015,02/03/2015,31/03/2015,,,
