KODE REKENING,URAIAN ,JUMLAH,DASAR HUKUM
1.20 . 1.20.16 . 03 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,12000000,
1.20 . 1.20.16 . 03 . 05,Pengadaan pakaian khusus hari-hari tertentu,77150000,
1.20 . 1.20.16 . 03 . 05 . 5 . 2 . 1,Belanja Pegawai,2150000,
1.20 . 1.20.16 . 03 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,75000000,
1.20 . 1.20.16 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,128000000,
1.20 . 1.20.16 . 05 . 04,Pembinaan Kinerja Aparatur,128000000,
1.20 . 1.20.16 . 05 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,128000000,
1.20 . 1.20.16 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,136500000,
1.20 . 1.20.16 . 06 . 01,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,51300000,
1.20 . 1.20.16 . 06 . 01 . 5 . 2 . 1,Belanja Pegawai,17500000,
1.20 . 1.20.16 . 06 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,33800000,
1.20 . 1.20.16 . 06 . 02,Penyusunan pelaporan keuangan semesteran,23100000,
1.20 . 1.20.16 . 06 . 02 . 5 . 2 . 1,Belanja Pegawai,12100000,
1.20 . 1.20.16 . 06 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,11000000,
1.20 . 1.20.16 . 06 . 03,Penyusunan pelaporan prognosis realisasi anggaran,39900000,
1.20 . 1.20.16 . 06 . 03 . 5 . 2 . 1,Belanja Pegawai,18900000,
1.20 . 1.20.16 . 06 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,21000000,
1.20 . 1.20.16 . 06 . 04,penyusunan pelaporan keuangan akhir tahun,22200000,
1.20 . 1.20.16 . 06 . 04 . 5 . 2 . 1,Belanja Pegawai,13200000,
1.20 . 1.20.16 . 06 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,9000000,
1.22 . 1.20.16 . 22,Program Inovasi Pembangunan dan Pemberdayaan Kewilayahan,4474722500,
1.22 . 1.20.16 . 22 . 01,Fasilitasi Pemberdayaan Lingkup RW,3574722500,
1.22 . 1.20.16 . 22 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,3574722500,
1.22 . 1.20.16 . 22 . 02,Fasilitasi Pemberdayaan Lingkup PKK,300000000,
1.22 . 1.20.16 . 22 . 02 . 5 . 2 . 1,Belanja Pegawai,1100000,
1.22 . 1.20.16 . 22 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,298900000,
1.22 . 1.20.16 . 22 . 03,Fasilitasi Pemberdayaan Lingkup Karang Taruna,300000000,
1.22 . 1.20.16 . 22 . 03 . 5 . 2 . 1,Belanja Pegawai,1100000,
1.22 . 1.20.16 . 22 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,298900000,
1.22 . 1.20.16 . 22 . 04,Fasilitasi Pemberdayaan Lingkup LPM,300000000,
1.22 . 1.20.16 . 22 . 04 . 5 . 2 . 1,Belanja Pegawai,2025000,
1.22 . 1.20.16 . 22 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,297975000,
1.20 . 1.20.16 . 30,Program Peningkatan Peran Kecamatan dan Kelurahan,4081375000,
1.20 . 1.20.16 . 30 . 01,Fasilitasi Peningkatan Perekonomian Masyarakat Kecamatan dan Kelurahan,33325000,
1.20 . 1.20.16 . 30 . 01 . 5 . 2 . 1,Belanja Pegawai,6075000,
1.20 . 1.20.16 . 30 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,27250000,
1.20 . 1.20.16 . 30 . 02,Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan Kecamatan dan Kelurahan,331225000,
1.20 . 1.20.16 . 30 . 02 . 5 . 2 . 1,Belanja Pegawai,56325000,
1.20 . 1.20.16 . 30 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,274900000,
1.20 . 1.20.16 . 30 . 03,Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan,1610175000,
1.20 . 1.20.16 . 30 . 03 . 5 . 2 . 1,Belanja Pegawai,25400000,
1.20 . 1.20.16 . 30 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,1564775000,
1.20 . 1.20.16 . 30 . 03 . 5 . 2 . 3,Belanja Modal,20000000,
1.20 . 1.20.16 . 30 . 04,Peningkatan Kualitas Penanganan Ketentraman dan Ketertiban Tingkat Kecamatan dan Kelurahan,355975000,
1.20 . 1.20.16 . 30 . 04 . 5 . 2 . 1,Belanja Pegawai,52225000,
1.20 . 1.20.16 . 30 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,303750000,
1.20 . 1.20.16 . 30 . 05,Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan,1582275000,
1.20 . 1.20.16 . 30 . 05 . 5 . 2 . 1,Belanja Pegawai,59875000,
1.20 . 1.20.16 . 30 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,1522400000,
1.20 . 1.20.16 . 30 . 07,Fasilitasi Peningkatan Pelayanan Kepada Masyarakat,168400000,
1.20 . 1.20.16 . 30 . 07 . 5 . 2 . 1,Belanja Pegawai,12150000,
1.20 . 1.20.16 . 30 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,156250000,
1.20 . 1.20.16 . 33,Program pembinaan dan pengembangan aparatur,75000000,
1.20 . 1.20.16 . 33 . 28,Penyegaran mindset pola kerja,75000000,
1.20 . 1.20.16 . 33 . 28 . 5 . 2 . 2,Belanja Barang dan Jasa,75000000,
,SURPLUS / (DEFISIT),15561536206,
