NO,NAMA PERUSAHAAN,KELURAHAN,ALAMAT,JENIS USAHA,JML KARYAWAN ,THN BERDIRI 
548,YAYASAN SUMBER SEHAT,,JL. ANDIR No. 8,PENGANGKATAN,11  ORANG,
549,KLINIK KARYA MANDIRI,,JL. BUDIMAN RT. 04/02,KLINIK,2  ORANG,
550,TOKO FISKAN,,JL. ANDIR No. 32/78,ALAT RUMAH TANGGA,2  ORANG,
551,TOKO FISKAN,,JL. ANDIR SWADAYA,BAHAN BANGUNAN,5  ORANG,
552,YCBS,,JL. ANDIR ,JASA,2  ORANG,
553,AQUANE,,JL. TAMAN HIJAU No. 2,,15  ORANG,
554,AQUANE,,JL. BUDIMAN RT. 04/02,KELONTONGAN,2  ORANG,
555,AQUANE,,JL. PEPETEK No. 25,DAGING SAPI,2  ORANG,
556,AQUANE,,JL. WARINGIN No. 31,JASA,6  ORANG,
557,AQUANE,,JL. CIROYOM IV,,,
558,KARYA MANDIRI,, RAJAWALI PLAZA,  ,4  ORANG,
559,PT. RA SEJAHTERA ABADI,,JL. Andir  No, 199/70 RT 03/10 Kelurahan Ciroyom,Catering dan Perdagangan,3 Orang,
560,PD. MAKMUR,,Jl. Andir No 14, 16 18 RT 10/06 Ciroyom,Perdagangan makanan dan minuman ringan sembako,5 orang,
