kecamatan,kelurahan,Pelindung,Produktif,Ditanam,Hidup,Sumur Resapan,Biopori,Sumber Dana
Bandung Kulon,Cibuntu,14,41,55,50,0,0,
Bandung Kulon,Caringin,12,34,46,45,0,0,
Bandung Kulon,Cigondewah Kaler,22,63,85,80,0,0,
Bandung Kulon,Cigondewah Kidul,19,56,75,75,0,0,
Bandung Kulon,Cigondewah Rahayu,13,37,50,50,0,0,
Bandung Kulon,Gempolsari,10,30,40,40,0,0,
Regol,Pasirluyu ,,,,,,5,
Regol,Ciseureuh ,,,,,,8,
Regol,Cigareleng,,,,,,30,
Regol,Ancol ,,,,,,5,
Regol,Pungkur,,,,,,8,
Regol,Ciateul,,,,,,10,
Regol,Balong Gede ,,,,,,5,
Lengkong,Malabar,,,,,,,
Lengkong,Turangga,,,,,,,
Lengkong,Lingkar Selatan,,,,,,,
Lengkong,Cijagra,,,,,,,
Lengkong,Burangrang,,,,,,,
Lengkong,Paledang,,,,,,,
Lengkong,Cikawao,,,,,,,
Batununggal,Kebon Waru,45,9,54,54,1,24,
Batununggal,Kacapiring,12,1,13,11,3,55,
Batununggal,Gumuruh,15,40,12,10,4,96,
Batununggal,Kebon Gedang,4,7,11,9,4,6,
Batununggal,Samoja,0,0,0,0,4,7,
Batununggal,Cibangkong,14,21,7,6,5,54,
Batununggal,Maleer,33,6,40,33,3,8,
Batununggal,Binong,10,1,9,8,3,69,
Ujungberung,Pasir Endah,,,,,,,
Ujungberung,Cigending,,,,,,,
Ujungberung,Pasir Wangi,,,,,,,
Ujungberung,Pasirjati,,,,,,,
Ujungberung,Pasanggrahan,,,,,,,
Kiaracondong,Sukapura,5,2,7,6,1,10,swadaya
Kiaracondong,Kebon Jayanti,11,8,19,17,0,0,
Kiaracondong,Babakan Surabaya,0,0,0,0,0,0,
Kiaracondong,Cicaheum,5,7,12,3,2,0,
Kiaracondong,Babakan Sari,43,35,78,78,47,0,APBD
Kiaracondong,Kebun Kangkung,2,5,7,7,1,0,
Arcamanik,Sukamiskin,0,25,25,25,0,0,apbd
Arcamanik,Cisaranten Bina Harapan,0,25,25,25,0,0,apbd
Arcamanik,Cisaranten Endah,0,25,25,25,0,0,apbd
Arcamanik,Cisaranten Kulon,0,25,25,20,0,0,apbd
Cibiru,Palasari,,,,,,,
Cibiru,Cipadung,,,,,,,
Cibiru,Pasir Biru,,,,,,,
Cibiru,Cisurupan (+lain2),,,,,,,
Antapani,Antapani Kulon,0,62,62,0,0,0,
Antapani,Antapani Wetan,0,63,63,0,2,0,
Antapani,Antapani Tengah,0,62,62,0,0,31,
Antapani,Antapani Kidul,0,63,63,0,0,34,
Rancasari,Cipamokolan,6,69,75,15,3,27,
Rancasari,Derwati,7,8,15,15,3,25,
Rancasari,Manjahlega,10,8,18,18,4,29,
Rancasari,Mekar Jaya,2,3,5,4,3,10,
Buahbatu,Sekejati,,,,,,,
Buahbatu,Margasari,,,,,,,
Buahbatu,Cijaura,,,,,,,
Buahbatu,Jati Sari,,,,,,,
Bandung Kidul,Batununggal,13,20,33,32,2,12,swadaya
Bandung Kidul,Kujangsari,17,20,37,36,2,8,swadaya
Bandung Kidul,Mengger,6,15,21,20,1,5,swadaya
Bandung Kidul,Wates,4,15,19,19,0,7,swadaya
Gedebage,Rancabolang,,,,,,,
Gedebage,Cimencrang,,,,,,,
Gedebage,Cisaranten Kidul,,,,,,,
Gedebage,Rancanumpang,,,,,,,
Panyileukan,Cipadung Kidul,10,215,225,224,0,0,
Panyileukan,Mekar Mulya ,36,150,186,180,3,2,
Panyileukan,Cipadung Wetan,59,109,168,160,0,0,
Panyileukan,Cipadung Kulon,166,131,297,292,0,0,
Cinambo,Pakemitan,,,,,,,
Cinambo,Sukamulya,,,,,,,
Cinambo,Cisaranten Wetan,,,,,,,
Cinambo,Babakan Penghulu,,,,,,,
Mandalajati,Jatihandap,100,100,200,,,,
Mandalajati,Karang Pamulang,70,70,140,,,,
Mandalajati,Pasir Impun,70,70,14,,,,
Mandalajati,Sindang Jaya,60,60,120,,,,
